occurrenceID,type,language,license,eventID,rightsHolder,accessRights,institutionCode,datasetName,ownerInstitutionCode,basisOfREcord,countryCode,Municipality,kingdom,nomenclaturalCode,locality,parentEventID,eventDate,end date,samplingProtocol,eventRemarks,scientificName,genus,specificEpithet,individualCount,verbatimLongitude,verbatimLatitude,decimalLongitude,decimalLattitude,geodeticDatum
modirisk:long:monit:22,event,en,https://creativecommons.org/licenses/by-nc/4.0/,modirisk:maasmechelen:mA1:3,RBINS,http://www.inbo.be/en/norms-for-data-use,RBINS,"MODIRISK:Monitoring of Mosquito Vectors, Longitudinal study",RBINS,humanObservation,BE,Maasmechelen,Animalia,ICZN,MA1,Maasmechelen:MA1,18/05/2009,20/05/2009,Mosquito Magnet Liberty Plus (MMLP) ,{trapNumber:2},Aedes cinereus/geminus,Aedes,cinereus/geminus,77,"  5°37'8.77"""," 50°59'42.03""",5.618889,50.995,WGS84
modirisk:long:monit:23,event,en,https://creativecommons.org/licenses/by-nc/4.0/,modirisk:maasmechelen:mA1:3,RBINS,http://www.inbo.be/en/norms-for-data-use,RBINS,"MODIRISK:Monitoring of Mosquito Vectors, Longitudinal study",RBINS,humanObservation,BE,Maasmechelen,Animalia,ICZN,MA1,Maasmechelen:MA1,18/05/2009,20/05/2009,Mosquito Magnet Liberty Plus (MMLP) ,{trapNumber:2},Aedes koreicus,Aedes,koreicus,2,"  5°37'8.77"""," 50°59'42.03""",5.618889,50.995,WGS84
modirisk:long:monit:24,event,en,https://creativecommons.org/licenses/by-nc/4.0/,modirisk:maasmechelen:mA1:3,RBINS,http://www.inbo.be/en/norms-for-data-use,RBINS,"MODIRISK:Monitoring of Mosquito Vectors, Longitudinal study",RBINS,humanObservation,BE,Maasmechelen,Animalia,ICZN,MA1,Maasmechelen:MA1,18/05/2009,20/05/2009,Mosquito Magnet Liberty Plus (MMLP) ,{trapNumber:1},Anopheles claviger,Anopheles,claviger,2,"  5°37'8.77"""," 50°59'42.03""",5.618889,50.995,WGS84
modirisk:long:monit:25,event,en,https://creativecommons.org/licenses/by-nc/4.0/,modirisk:maasmechelen:mA1:3,RBINS,http://www.inbo.be/en/norms-for-data-use,RBINS,"MODIRISK:Monitoring of Mosquito Vectors, Longitudinal study",RBINS,humanObservation,BE,Maasmechelen,Animalia,ICZN,MA1,Maasmechelen:MA1,18/05/2009,20/05/2009,Mosquito Magnet Liberty Plus (MMLP) ,{trapNumber:2},Culex pipiens,Culex,pipiens,1,"  5°37'8.77"""," 50°59'42.03""",5.618889,50.995,WGS84
modirisk:long:monit:26,event,en,https://creativecommons.org/licenses/by-nc/4.0/,modirisk:maasmechelen:mA1:3,RBINS,http://www.inbo.be/en/norms-for-data-use,RBINS,"MODIRISK:Monitoring of Mosquito Vectors, Longitudinal study",RBINS,humanObservation,BE,Maasmechelen,Animalia,ICZN,MA1,Maasmechelen:MA1,18/05/2009,20/05/2009,Mosquito Magnet Liberty Plus (MMLP) ,{trapNumber:1},Culiseta morsitans,Culiseta,morsitans,4,"  5°37'8.77"""," 50°59'42.03""",5.618889,50.995,WGS84
modirisk:long:monit:27,event,en,https://creativecommons.org/licenses/by-nc/4.0/,modirisk:maasmechelen:mA1:3,RBINS,http://www.inbo.be/en/norms-for-data-use,RBINS,"MODIRISK:Monitoring of Mosquito Vectors, Longitudinal study",RBINS,humanObservation,BE,Maasmechelen,Animalia,ICZN,MA1,Maasmechelen:MA1,18/05/2009,20/05/2009,Mosquito Magnet Liberty Plus (MMLP) ,{trapNumber:2},Culiseta morsitans,Culiseta,morsitans,9,"  5°37'8.77"""," 50°59'42.03""",5.618889,50.995,WGS84
modirisk:long:monit:28,event,en,https://creativecommons.org/licenses/by-nc/4.0/,modirisk:maasmechelen:mA1:3,RBINS,http://www.inbo.be/en/norms-for-data-use,RBINS,"MODIRISK:Monitoring of Mosquito Vectors, Longitudinal study",RBINS,humanObservation,BE,Maasmechelen,Animalia,ICZN,MA1,Maasmechelen:MA1,18/05/2009,20/05/2009,Mosquito Magnet Liberty Plus (MMLP) ,{trapNumber:1},Ochlerotatus annulipes,Ochlerotatus,annulipes,46,"  5°37'8.77"""," 50°59'42.03""",5.618889,50.995,WGS84
modirisk:long:monit:29,event,en,https://creativecommons.org/licenses/by-nc/4.0/,modirisk:maasmechelen:mA1:3,RBINS,http://www.inbo.be/en/norms-for-data-use,RBINS,"MODIRISK:Monitoring of Mosquito Vectors, Longitudinal study",RBINS,humanObservation,BE,Maasmechelen,Animalia,ICZN,MA1,Maasmechelen:MA1,18/05/2009,20/05/2009,Mosquito Magnet Liberty Plus (MMLP) ,{trapNumber:2},Ochlerotatus annulipes,Ochlerotatus,annulipes,116,"  5°37'8.77"""," 50°59'42.03""",5.618889,50.995,WGS84
modirisk:long:monit:30,event,en,https://creativecommons.org/licenses/by-nc/4.0/,modirisk:maasmechelen:mA1:3,RBINS,http://www.inbo.be/en/norms-for-data-use,RBINS,"MODIRISK:Monitoring of Mosquito Vectors, Longitudinal study",RBINS,humanObservation,BE,Maasmechelen,Animalia,ICZN,MA1,Maasmechelen:MA1,18/05/2009,20/05/2009,Mosquito Magnet Liberty Plus (MMLP) ,{trapNumber:1},Ochlerotatus cantans,Ochlerotatus,cantans,13,"  5°37'8.77"""," 50°59'42.03""",5.618889,50.995,WGS84
modirisk:long:monit:31,event,en,https://creativecommons.org/licenses/by-nc/4.0/,modirisk:maasmechelen:mA1:3,RBINS,http://www.inbo.be/en/norms-for-data-use,RBINS,"MODIRISK:Monitoring of Mosquito Vectors, Longitudinal study",RBINS,humanObservation,BE,Maasmechelen,Animalia,ICZN,MA1,Maasmechelen:MA1,18/05/2009,20/05/2009,Mosquito Magnet Liberty Plus (MMLP) ,{trapNumber:2},Ochlerotatus cantans,Ochlerotatus,cantans,9,"  5°37'8.77"""," 50°59'42.03""",5.618889,50.995,WGS84
