Subcollectie,originalNameUsage,genus,scientificName,specificEpithet,type,language,license,rightsHolder,accessRights,institutionCode,datasetName,ownerInstitutionCode,basisOfREcord,countryCode,geodeticDatum,kingdom,nomenclaturalCode,day,month,year,locality,localityLatitude,LocalityLongitude,municipality,PLacetoGeoref,forGeoReference,Utm5km,recordedBy,identifiedBy,sex,lifestage,preparations,Veld12,catalogNumber,occurrenceID,Column,Provincie
Supplementen,"Culex pipiens Linnaeus, 1758",Culex,Culex pipiens,pipiens,Event,en,https://creativecommons.org/licenses/by-nc/4.0/,RBINS,http://www.inbo.be/en/norms-for-data-use,RBINS,insertDatasetName,RBINS,PreservedSpecimen,BE,WGS84,Animalia,ICZN,11,2,1913, Le Fagnoû,,,Francorchamps,Le Fagnoû Francorchamps,"Francorchamps,  Le Fagnoû",GR19C,,Wouter Dekoninck,Female,Adult,Whole mount,3C-3-Culi-6,775,RBINS:modirisk:collection::775,,Luik
Supplementen,"Culex pipiens Linnaeus, 1758",Culex,Culex pipiens,pipiens,Event,en,https://creativecommons.org/licenses/by-nc/4.0/,RBINS,http://www.inbo.be/en/norms-for-data-use,RBINS,insertDatasetName,RBINS,PreservedSpecimen,BE,WGS84,Animalia,ICZN,11,2,1943,Forêt de Soignes,,, ,Forêt de Soignes," , Forêt de Soignes",ES92D,P. Vanschuytbroeck,Wouter Dekoninck,Male,Adult,Whole mount,3C-4-Culi-6,776,RBINS:modirisk:collection::776,,
Supplementen,"Culex pipiens Linnaeus, 1758",Culex,Culex pipiens,pipiens,Event,en,https://creativecommons.org/licenses/by-nc/4.0/,RBINS,http://www.inbo.be/en/norms-for-data-use,RBINS,insertDatasetName,RBINS,PreservedSpecimen,BE,WGS84,Animalia,ICZN,11,2,1943,Forêt de Soignes,,, ,Forêt de Soignes," , Forêt de Soignes",ES92D,P. Vanschuytbroeck,Wouter Dekoninck,Female,Adult,Whole mount,3C-4-Culi-6,777,RBINS:modirisk:collection::777,,
Supplementen,"Culex pipiens Linnaeus, 1758",Culex,Culex pipiens,pipiens,Event,en,https://creativecommons.org/licenses/by-nc/4.0/,RBINS,http://www.inbo.be/en/norms-for-data-use,RBINS,insertDatasetName,RBINS,PreservedSpecimen,BE,WGS84,Animalia,ICZN,11,6,1928,Forêt de Soignes,,, ,Forêt de Soignes," , Forêt de Soignes",ES92D,André Léon Tonnoir,Wouter Dekoninck,Female,Adult,Whole mount,3C-2-Culi-6,778,RBINS:modirisk:collection::778,,
Supplementen,"Culex pipiens Linnaeus, 1758",Culex,Culex pipiens,pipiens,Event,en,https://creativecommons.org/licenses/by-nc/4.0/,RBINS,http://www.inbo.be/en/norms-for-data-use,RBINS,insertDatasetName,RBINS,PreservedSpecimen,BE,WGS84,Animalia,ICZN,11,9,1942,Forêt de Soignes (Grasdelle),,, ,Forêt de Soignes (Grasdelle)," , Forêt de Soignes (Grasdelle)",ES92B,J. Cooreman,Wouter Dekoninck,Male,Adult,Whole mount,3C-4-Culi-6,779,RBINS:modirisk:collection::779,,
Supplementen,"Culex pipiens Linnaeus, 1758",Culex,Culex pipiens,pipiens,Event,en,https://creativecommons.org/licenses/by-nc/4.0/,RBINS,http://www.inbo.be/en/norms-for-data-use,RBINS,insertDatasetName,RBINS,PreservedSpecimen,BE,WGS84,Animalia,ICZN,11,9,1942,Forêt de Soignes (Grasdelle),,, ,Forêt de Soignes (Grasdelle)," , Forêt de Soignes (Grasdelle)",ES92B,J. Cooreman,Wouter Dekoninck,Female,Adult,Whole mount,3C-4-Culi-6,780,RBINS:modirisk:collection::780,,
Supplementen,"Culex pipiens Linnaeus, 1758",Culex,Culex pipiens,pipiens,Event,en,https://creativecommons.org/licenses/by-nc/4.0/,RBINS,http://www.inbo.be/en/norms-for-data-use,RBINS,insertDatasetName,RBINS,PreservedSpecimen,BE,WGS84,Animalia,ICZN,11,9,1942,Forêt de Soignes (Grasdelle),,, ,Forêt de Soignes (Grasdelle)," , Forêt de Soignes (Grasdelle)",ES92B,J. Cooreman,Wouter Dekoninck,Female,Adult,Whole mount,3C-1-Culi-6,781,RBINS:modirisk:collection::781,,
Supplementen,"Culex pipiens Linnaeus, 1758",Culex,Culex pipiens,pipiens,Event,en,https://creativecommons.org/licenses/by-nc/4.0/,RBINS,http://www.inbo.be/en/norms-for-data-use,RBINS,insertDatasetName,RBINS,PreservedSpecimen,BE,WGS84,Animalia,ICZN,12,10,1960, ,,,Hoboken,Hoboken,"Hoboken,  ",ES97C,L. Marnef,Wouter Dekoninck,Female,Adult,Whole mount,3C-2-Culi-6,782,RBINS:modirisk:collection::782,,Antwerp
Supplementen,"Culex pipiens Linnaeus, 1758",Culex,Culex pipiens,pipiens,Event,en,https://creativecommons.org/licenses/by-nc/4.0/,RBINS,http://www.inbo.be/en/norms-for-data-use,RBINS,insertDatasetName,RBINS,PreservedSpecimen,BE,WGS84,Animalia,ICZN,,12,1967, ,,,Watermaal,Watermaal,"Watermaal,  ",ES92B,E. Janmoulle,Wouter Dekoninck,Female,Adult,Whole mount,3C-2-Culi-6,783,RBINS:modirisk:collection::783,,Brussels
Supplementen,"Culex pipiens Linnaeus, 1758",Culex,Culex pipiens,pipiens,Event,en,https://creativecommons.org/licenses/by-nc/4.0/,RBINS,http://www.inbo.be/en/norms-for-data-use,RBINS,insertDatasetName,RBINS,PreservedSpecimen,BE,WGS84,Animalia,ICZN,12,6,1958, ,,,Hoboken,Hoboken,"Hoboken,  ",ES97C,L. Marnef,Wouter Dekoninck,Female,Adult,Whole mount,3C-2-Culi-6,784,RBINS:modirisk:collection::784,,Antwerp
Supplementen,"Culex pipiens Linnaeus, 1758",Culex,Culex pipiens,pipiens,Event,en,https://creativecommons.org/licenses/by-nc/4.0/,RBINS,http://www.inbo.be/en/norms-for-data-use,RBINS,insertDatasetName,RBINS,PreservedSpecimen,BE,WGS84,Animalia,ICZN,12,7,1935, Limelette,,,Ottignies-Louvain-la-Neuve,Limelette Ottignies-Louvain-la-Neuve,"Ottignies-Louvain-la-Neuve,  Limelette",FS11A,O. Sablon,Wouter Dekoninck,Male,Adult,Whole mount,3C-2-Culi-6,785,RBINS:modirisk:collection::785,,Brabant Wallon
Supplementen,"Culex pipiens Linnaeus, 1758",Culex,Culex pipiens,pipiens,Event,en,https://creativecommons.org/licenses/by-nc/4.0/,RBINS,http://www.inbo.be/en/norms-for-data-use,RBINS,insertDatasetName,RBINS,PreservedSpecimen,BE,WGS84,Animalia,ICZN,12,7,1935, Limelette,,,Ottignies-Louvain-la-Neuve,Limelette Ottignies-Louvain-la-Neuve,"Ottignies-Louvain-la-Neuve,  Limelette",FS11A,O. Sablon,Wouter Dekoninck,Female,Adult,Whole mount,3C-2-Culi-6,786,RBINS:modirisk:collection::786,,Brabant Wallon
