collectionCode;datasetName;basisOfRecord;occurrenceID;recordedBy;sex;lifeStage;eventDate;year;yearPeriod;month;day;municipality;locality;decimalLatitude;decimalLongitude;geodeticDatum;identifiedBy;scientificName;kingdom
Coll. M. Goetghebuer;MODIRISK:RBINS Diptera: Culicidae Collection;PreservedSpecimen;RBINS:modirisk:collection:489;Maurice E. M. Goetghebuer;Male;Adult;30/07/1918;1918;1911-1920;7;30;;For̻t de Soignes;5.074.608.651.803.460;43.819.883.970.772.500;WGS84;Maurice E. M. Goetghebuer;Culex territans;Animalia
RINS Additional Collection;MODIRISK:RBINS Diptera: Culicidae Collection;PreservedSpecimen;RBINS:modirisk:collection:1234;Guilliaume Severin;Female;Adult;31/05/1918;1918;1911-1920;5;31;Hoogstraten;;5.141.546.375.551.040;4.761.610.766.531.710;WGS84;Wouter Dekoninck;Ochlerotatus communis;Animalia
RINS Additional Collection;MODIRISK:RBINS Diptera: Culicidae Collection;PreservedSpecimen;RBINS:modirisk:collection:1240;Andr̩ L̩on Tonnoir;Female;Adult;10/08/1918;1918;1911-1920;8;10;;For̻t de Soignes;5.074.608.651.803.460;43.819.883.970.772.500;WGS84;Wouter Dekoninck;Ochlerotatus geniculatus;Animalia
RBINS Insect Collection;MODIRISK:RBINS Diptera: Culicidae Collection;PreservedSpecimen;RBINS:modirisk:collection:16;Andr̩ L̩on Tonnoir;Male;Adult;29/07/1919;1919;1911-1920;7;29;Virton;;4.960.249.215.032.500;5.525.862.698.756.430;WGS84;Maurice E. M. Goetghebuer;Anopheles claviger;Animalia
RBINS Insect Collection;MODIRISK:RBINS Diptera: Culicidae Collection;PreservedSpecimen;RBINS:modirisk:collection:17;Andr̩ L̩on Tonnoir;Male;Adult;30/07/1919;1919;1911-1920;7;30;Virton;Ethe, Laclaireau;49.600.962.091.625.200;55.949.906.104.220.400;WGS84;Maurice E. M. Goetghebuer;Anopheles claviger;Animalia
RBINS Insect Collection;MODIRISK:RBINS Diptera: Culicidae Collection;PreservedSpecimen;RBINS:modirisk:collection:34;Andr̩ L̩on Tonnoir;Female;Adult;12/08/1919;1919;1911-1920;8;12;Anderlecht;Neerpede;508.368.093.510.628;4.313.655.544.145.890;WGS84;F. W. Edwards;Coquillettidia richiardii;Animalia
RBINS Insect Collection;MODIRISK:RBINS Diptera: Culicidae Collection;PreservedSpecimen;RBINS:modirisk:collection:189;Andr̩ L̩on Tonnoir;Female;Adult;18/07/1919;1919;1911-1920;7;18;;For̻t de Soignes;5.074.608.651.803.460;43.819.883.970.772.500;WGS84;F. W. Edwards;Culiseta morsitans;Animalia
Coll. M. Goetghebuer;MODIRISK:RBINS Diptera: Culicidae Collection;PreservedSpecimen;RBINS:modirisk:collection:404;Maurice E. M. Goetghebuer;Female;Adult;18/05/1919;1919;1911-1920;5;18;La Hulpe;;5.074.522.524.612.740;445.283.584.283.968;WGS84;Maurice E. M. Goetghebuer;Anopheles claviger;Animalia
Coll. M. Goetghebuer;MODIRISK:RBINS Diptera: Culicidae Collection;PreservedSpecimen;RBINS:modirisk:collection:405;Maurice E. M. Goetghebuer;Male;Adult;18/05/1919;1919;1911-1920;5;18;La Hulpe;;5.074.522.524.612.740;445.283.584.283.968;WGS84;Maurice E. M. Goetghebuer;Anopheles claviger;Animalia
Coll. M. Goetghebuer;MODIRISK:RBINS Diptera: Culicidae Collection;PreservedSpecimen;RBINS:modirisk:collection:496;Maurice E. M. Goetghebuer;Male;Adult;11/09/1919;1919;1911-1920;9;11;Kalmthout;Heide;5.137.448.832.663.440;4.472.669.099.794.080;WGS84;Maurice E. M. Goetghebuer;Culiseta annulata;Animalia
Coll. M. Goetghebuer;MODIRISK:RBINS Diptera: Culicidae Collection;PreservedSpecimen;RBINS:modirisk:collection:497;Maurice E. M. Goetghebuer;Male;Adult;11/09/1919;1919;1911-1920;9;11;Kalmthout;Heide;5.137.448.832.663.440;4.472.669.099.794.080;WGS84;Maurice E. M. Goetghebuer;Culiseta annulata;Animalia
Coll. M. Goetghebuer;MODIRISK:RBINS Diptera: Culicidae Collection;PreservedSpecimen;RBINS:modirisk:collection:629;Maurice E. M. Goetghebuer;Male;Adult;23/05/1919;1919;1911-1920;5;23;Melle;;5.102.117.992.362.910;3.819.822.943.242.220;WGS84;Maurice E. M. Goetghebuer;Ochlerotatus rusticus;Animalia
RINS Additional Collection;MODIRISK:RBINS Diptera: Culicidae Collection;PreservedSpecimen;RBINS:modirisk:collection:788;Andr̩ L̩on Tonnoir;Male;Adult;12/08/1919;1919;1911-1920;8;12;Anderlecht;Neerpede;508.368.093.510.628;4.313.655.544.145.890;WGS84;Wouter Dekoninck;Culex pipiens;Animalia
RINS Additional Collection;MODIRISK:RBINS Diptera: Culicidae Collection;PreservedSpecimen;RBINS:modirisk:collection:1250;A. Boone;Female;Adult;15/03/1919;1919;1911-1920;3;15;Turnhout;;5.132.215.861.156.250;497.331.976.325.267;WGS84;Wouter Dekoninck;Ochlerotatus geniculatus;Animalia
RBINS Insect Collection;MODIRISK:RBINS Diptera: Culicidae Collection;PreservedSpecimen;RBINS:modirisk:collection:4;;Male;Adult;9/06/1920;1920;1911-1920;6;9;Destelbergen;;5.106.613.746.522.110;38.206.169.257.590.400;WGS84;Andr̩ L̩on Tonnoir;Aedes cinereus;Animalia
RBINS Insect Collection;MODIRISK:RBINS Diptera: Culicidae Collection;PreservedSpecimen;RBINS:modirisk:collection:5;;Female;Adult;9/06/1920;1920;1911-1920;6;9;Destelbergen;;5.106.613.746.522.110;38.206.169.257.590.400;WGS84;Andr̩ L̩on Tonnoir;Aedes cinereus;Animalia
RBINS Insect Collection;MODIRISK:RBINS Diptera: Culicidae Collection;PreservedSpecimen;RBINS:modirisk:collection:187;Maurice E. M. Goetghebuer;Female;Adult;16/08/1920;1920;1911-1920;8;16;Lovendegem;Vinderhoute;5.106.705.221.325.610;36.779.129.208.714.600;WGS84;Maurice E. M. Goetghebuer;Culiseta morsitans;Animalia
Coll. M. Bequaert;MODIRISK:RBINS Diptera: Culicidae Collection;PreservedSpecimen;RBINS:modirisk:collection:361;Michel Bequaert;Female;Adult;14/05/1920;1920;1911-1920;5;14;Melle;;5.102.117.992.362.910;3.819.822.943.242.220;WGS84;Michel Bequaert;Ochlerotatus rusticus;Animalia
Coll. M. Bequaert;MODIRISK:RBINS Diptera: Culicidae Collection;PreservedSpecimen;RBINS:modirisk:collection:362;Michel Bequaert;Female;Adult;14/05/1920;1920;1911-1920;5;14;Melle;;5.102.117.992.362.910;3.819.822.943.242.220;WGS84;Michel Bequaert;Ochlerotatus rusticus;Animalia
Coll. M. Goetghebuer;MODIRISK:RBINS Diptera: Culicidae Collection;PreservedSpecimen;RBINS:modirisk:collection:377;Maurice E. M. Goetghebuer;Female;Adult;1/06/1920;1920;1911-1920;6;1;Destelbergen;;5.106.613.746.522.110;38.206.169.257.590.400;WGS84;Maurice E. M. Goetghebuer;Aedes cinereus;Animalia
Coll. M. Goetghebuer;MODIRISK:RBINS Diptera: Culicidae Collection;PreservedSpecimen;RBINS:modirisk:collection:383;Maurice E. M. Goetghebuer;Male;Adult;24/05/1920;1920;1911-1920;5;24;Melle;;5.102.117.992.362.910;3.819.822.943.242.220;WGS84;Maurice E. M. Goetghebuer;Aedes cinereus;Animalia
Coll. M. Goetghebuer;MODIRISK:RBINS Diptera: Culicidae Collection;PreservedSpecimen;RBINS:modirisk:collection:385;Maurice E. M. Goetghebuer;Female;Adult;3/06/1920;1920;1911-1920;6;3;Melle;;5.102.117.992.362.910;3.819.822.943.242.220;WGS84;Maurice E. M. Goetghebuer;Aedes cinereus;Animalia
Coll. M. Goetghebuer;MODIRISK:RBINS Diptera: Culicidae Collection;PreservedSpecimen;RBINS:modirisk:collection:387;Maurice E. M. Goetghebuer;Female;Adult;8/06/1920;1920;1911-1920;6;8;Drongen;;5.106.705.221.325.610;36.779.129.208.714.600;WGS84;Maurice E. M. Goetghebuer;Aedes cinereus;Animalia
Coll. M. Goetghebuer;MODIRISK:RBINS Diptera: Culicidae Collection;PreservedSpecimen;RBINS:modirisk:collection:390;Maurice E. M. Goetghebuer;Female;Adult;9/06/1920;1920;1911-1920;6;9;Destelbergen;;5.106.613.746.522.110;38.206.169.257.590.400;WGS84;Maurice E. M. Goetghebuer;Aedes cinereus;Animalia
Coll. M. Goetghebuer;MODIRISK:RBINS Diptera: Culicidae Collection;PreservedSpecimen;RBINS:modirisk:collection:391;Maurice E. M. Goetghebuer;Male;Adult;9/06/1920;1920;1911-1920;6;9;Destelbergen;;5.106.613.746.522.110;38.206.169.257.590.400;WGS84;Maurice E. M. Goetghebuer;Aedes cinereus;Animalia
Coll. M. Goetghebuer;MODIRISK:RBINS Diptera: Culicidae Collection;PreservedSpecimen;RBINS:modirisk:collection:402;Maurice E. M. Goetghebuer;Female;Adult;16/08/1920;1920;1911-1920;8;16;Lovendegem;Vinderhoute;5.106.705.221.325.610;36.779.129.208.714.600;WGS84;Maurice E. M. Goetghebuer;Anopheles claviger;Animalia
Coll. M. Goetghebuer;MODIRISK:RBINS Diptera: Culicidae Collection;PreservedSpecimen;RBINS:modirisk:collection:403;Maurice E. M. Goetghebuer;Female;Adult;17/06/1920;1920;1911-1920;6;17;Drongen;;5.106.705.221.325.610;36.779.129.208.714.600;WGS84;Maurice E. M. Goetghebuer;Anopheles claviger;Animalia
Coll. M. Goetghebuer;MODIRISK:RBINS Diptera: Culicidae Collection;PreservedSpecimen;RBINS:modirisk:collection:416;;Female;Adult;5/06/1920;1920;1911-1920;6;5;Stavelot;Hockai;5.040.285.972.003.670;5.920.039.195.430.380;WGS84;Maurice E. M. Goetghebuer;Anopheles claviger;Animalia
Coll. M. Goetghebuer;MODIRISK:RBINS Diptera: Culicidae Collection;PreservedSpecimen;RBINS:modirisk:collection:419;Maurice E. M. Goetghebuer;Female;Adult;8/09/1920;1920;1911-1920;9;8;Melle;;5.102.117.992.362.910;3.819.822.943.242.220;WGS84;Maurice E. M. Goetghebuer;Anopheles claviger;Animalia
Coll. M. Goetghebuer;MODIRISK:RBINS Diptera: Culicidae Collection;PreservedSpecimen;RBINS:modirisk:collection:421;Maurice E. M. Goetghebuer;Female;Adult;10/04/1920;1920;1911-1920;4;10;Zaventem;;5.088.007.353.912.030;4.457.026.014.432.130;WGS84;Maurice E. M. Goetghebuer;Anopheles maculipennis;Animalia
Coll. M. Goetghebuer;MODIRISK:RBINS Diptera: Culicidae Collection;PreservedSpecimen;RBINS:modirisk:collection:431;Maurice E. M. Goetghebuer;Male;Adult;22/10/1920;1920;1911-1920;10;22;Destelbergen;Heusden;5.102.117.992.362.910;3.819.822.943.242.220;WGS84;Maurice E. M. Goetghebuer;Anopheles maculipennis;Animalia
Coll. M. Goetghebuer;MODIRISK:RBINS Diptera: Culicidae Collection;PreservedSpecimen;RBINS:modirisk:collection:440;Maurice E. M. Goetghebuer;Female;Adult;7/10/1920;1920;1911-1920;10;7;Destelbergen;;5.106.613.746.522.110;38.206.169.257.590.400;WGS84;Maurice E. M. Goetghebuer;Anopheles maculipennis;Animalia
Coll. M. Goetghebuer;MODIRISK:RBINS Diptera: Culicidae Collection;PreservedSpecimen;RBINS:modirisk:collection:460;Maurice E. M. Goetghebuer;Female;Adult;1/07/1920;1920;1911-1920;7;1;Stavelot;Hockai;5.040.285.972.003.670;5.920.039.195.430.380;WGS84;Maurice E. M. Goetghebuer;Culex pipiens;Animalia
Coll. M. Goetghebuer;MODIRISK:RBINS Diptera: Culicidae Collection;PreservedSpecimen;RBINS:modirisk:collection:468;Maurice E. M. Goetghebuer;Male;Adult;18/09/1920;1920;1911-1920;9;18;Knokke-Heist;Knokke;5.133.851.408.667.620;3.251.229.494.419.810;WGS84;Maurice E. M. Goetghebuer;Culex pipiens;Animalia
Coll. M. Goetghebuer;MODIRISK:RBINS Diptera: Culicidae Collection;PreservedSpecimen;RBINS:modirisk:collection:472;Maurice E. M. Goetghebuer;Male;Adult;22/08/1920;1920;1911-1920;8;22;Maarkedal;Nukerke;50.797.681.224.136.900;3.603.059.280.062.060;WGS84;Maurice E. M. Goetghebuer;Culex pipiens;Animalia
Coll. M. Goetghebuer;MODIRISK:RBINS Diptera: Culicidae Collection;PreservedSpecimen;RBINS:modirisk:collection:473;Maurice E. M. Goetghebuer;Male;Adult;23/07/1920;1920;1911-1920;7;23;Oudergem;Rouge-Clǫtre;5.083.512.448.461.180;4.455.625.713.577.010;WGS84;Maurice E. M. Goetghebuer;Culex pipiens;Animalia
Coll. M. Goetghebuer;MODIRISK:RBINS Diptera: Culicidae Collection;PreservedSpecimen;RBINS:modirisk:collection:486;Maurice E. M. Goetghebuer;Female;Adult;8/06/1920;1920;1911-1920;6;8;Drongen;;5.106.705.221.325.610;36.779.129.208.714.600;WGS84;Maurice E. M. Goetghebuer;Culex pipiens;Animalia
Coll. M. Goetghebuer;MODIRISK:RBINS Diptera: Culicidae Collection;PreservedSpecimen;RBINS:modirisk:collection:502;Maurice E. M. Goetghebuer;Female;Adult;18/09/1920;1920;1911-1920;9;18;Knokke-Heist;Knokke;5.133.851.408.667.620;3.251.229.494.419.810;WGS84;Maurice E. M. Goetghebuer;Culiseta annulata;Animalia
Coll. M. Goetghebuer;MODIRISK:RBINS Diptera: Culicidae Collection;PreservedSpecimen;RBINS:modirisk:collection:519;Maurice E. M. Goetghebuer;Male;Adult;1/07/1920;1920;1911-1920;7;1;Stavelot;Hockai;5.040.285.972.003.670;5.920.039.195.430.380;WGS84;Maurice E. M. Goetghebuer;Culiseta fumipennis;Animalia
Coll. M. Goetghebuer;MODIRISK:RBINS Diptera: Culicidae Collection;PreservedSpecimen;RBINS:modirisk:collection:520;Maurice E. M. Goetghebuer;Female;Adult;1/07/1920;1920;1911-1920;7;1;Stavelot;Hockai;5.040.285.972.003.670;5.920.039.195.430.380;WGS84;Maurice E. M. Goetghebuer;Culiseta fumipennis;Animalia
Coll. M. Goetghebuer;MODIRISK:RBINS Diptera: Culicidae Collection;PreservedSpecimen;RBINS:modirisk:collection:522;Maurice E. M. Goetghebuer;Female;Adult;9/05/1920;1920;1911-1920;5;9;Lovendegem;Vinderhoute;5.106.705.221.325.610;36.779.129.208.714.600;WGS84;Maurice E. M. Goetghebuer;Culiseta fumipennis;Animalia
Coll. M. Goetghebuer;MODIRISK:RBINS Diptera: Culicidae Collection;PreservedSpecimen;RBINS:modirisk:collection:527;Maurice E. M. Goetghebuer;Male;Adult;20/04/1920;1920;1911-1920;4;20;Merelbeke;;50.976.699.647.716.200;3.747.817.782.074.570;WGS84;Maurice E. M. Goetghebuer;Culiseta morsitans;Animalia
Coll. M. Goetghebuer;MODIRISK:RBINS Diptera: Culicidae Collection;PreservedSpecimen;RBINS:modirisk:collection:547;Maurice E. M. Goetghebuer;Male;Adult;2/06/1920;1920;1911-1920;6;2;Lovendegem;Vinderhoute;5.106.705.221.325.610;36.779.129.208.714.600;WGS84;Maurice E. M. Goetghebuer;Ochlerotatus annulipes;Animalia
Coll. M. Goetghebuer;MODIRISK:RBINS Diptera: Culicidae Collection;PreservedSpecimen;RBINS:modirisk:collection:552;Maurice E. M. Goetghebuer;Male;Adult;3/06/1920;1920;1911-1920;6;3;Melle;;5.102.117.992.362.910;3.819.822.943.242.220;WGS84;Maurice E. M. Goetghebuer;Ochlerotatus annulipes;Animalia
Coll. M. Goetghebuer;MODIRISK:RBINS Diptera: Culicidae Collection;PreservedSpecimen;RBINS:modirisk:collection:553;Maurice E. M. Goetghebuer;Female;Adult;3/06/1920;1920;1911-1920;6;3;Melle;;5.102.117.992.362.910;3.819.822.943.242.220;WGS84;Maurice E. M. Goetghebuer;Ochlerotatus annulipes;Animalia
Coll. M. Goetghebuer;MODIRISK:RBINS Diptera: Culicidae Collection;PreservedSpecimen;RBINS:modirisk:collection:555;Maurice E. M. Goetghebuer;Female;Adult;8/06/1920;1920;1911-1920;6;8;Lovendegem;Vinderhoute;5.106.705.221.325.610;36.779.129.208.714.600;WGS84;Maurice E. M. Goetghebuer;Ochlerotatus annulipes;Animalia
Coll. M. Goetghebuer;MODIRISK:RBINS Diptera: Culicidae Collection;PreservedSpecimen;RBINS:modirisk:collection:556;Maurice E. M. Goetghebuer;Male;Adult;8/06/1920;1920;1911-1920;6;8;Drongen;;5.106.705.221.325.610;36.779.129.208.714.600;WGS84;Maurice E. M. Goetghebuer;Ochlerotatus annulipes;Animalia
Coll. M. Goetghebuer;MODIRISK:RBINS Diptera: Culicidae Collection;PreservedSpecimen;RBINS:modirisk:collection:574;Maurice E. M. Goetghebuer;Female;Adult;8/06/1920;1920;1911-1920;6;8;Drongen;;5.106.705.221.325.610;36.779.129.208.714.600;WGS84;Maurice E. M. Goetghebuer;Ochlerotatus cantans;Animalia
Coll. M. Goetghebuer;MODIRISK:RBINS Diptera: Culicidae Collection;PreservedSpecimen;RBINS:modirisk:collection:579;Maurice E. M. Goetghebuer;Male;Adult;13/05/1920;1920;1911-1920;5;13;Aalter;Bellem;5.111.305.801.074.180;34.642.946.952.321.500;WGS84;Maurice E. M. Goetghebuer;Ochlerotatus communis;Animalia
Coll. M. Goetghebuer;MODIRISK:RBINS Diptera: Culicidae Collection;PreservedSpecimen;RBINS:modirisk:collection:599;Maurice E. M. Goetghebuer;Female;Adult;1/07/1920;1920;1911-1920;7;1;Stavelot;Hockai;5.040.285.972.003.670;5.920.039.195.430.380;WGS84;Maurice E. M. Goetghebuer;Ochlerotatus punctor;Animalia
Coll. M. Goetghebuer;MODIRISK:RBINS Diptera: Culicidae Collection;PreservedSpecimen;RBINS:modirisk:collection:605;Maurice E. M. Goetghebuer;Female;Adult;13/05/1920;1920;1911-1920;5;13;Aalter;Bellem;5.111.305.801.074.180;34.642.946.952.321.500;WGS84;Maurice E. M. Goetghebuer;Ochlerotatus punctor;Animalia
Coll. M. Goetghebuer;MODIRISK:RBINS Diptera: Culicidae Collection;PreservedSpecimen;RBINS:modirisk:collection:606;Maurice E. M. Goetghebuer;Female;Adult;13/05/1920;1920;1911-1920;5;13;Aalter;Bellem;5.111.305.801.074.180;34.642.946.952.321.500;WGS84;Maurice E. M. Goetghebuer;Ochlerotatus punctor;Animalia
Coll. M. Goetghebuer;MODIRISK:RBINS Diptera: Culicidae Collection;PreservedSpecimen;RBINS:modirisk:collection:623;Maurice E. M. Goetghebuer;Male;Adult;14/05/1920;1920;1911-1920;5;14;Melle;;5.102.117.992.362.910;3.819.822.943.242.220;WGS84;Maurice E. M. Goetghebuer;Ochlerotatus rusticus;Animalia
Coll. M. Goetghebuer;MODIRISK:RBINS Diptera: Culicidae Collection;PreservedSpecimen;RBINS:modirisk:collection:624;Maurice E. M. Goetghebuer;Female;Adult;14/05/1920;1920;1911-1920;5;14;Melle;;5.102.117.992.362.910;3.819.822.943.242.220;WGS84;Maurice E. M. Goetghebuer;Ochlerotatus rusticus;Animalia
Coll. M. Goetghebuer;MODIRISK:RBINS Diptera: Culicidae Collection;PreservedSpecimen;RBINS:modirisk:collection:627;Maurice E. M. Goetghebuer;Female;Adult;19/05/1920;1920;1911-1920;5;19;Lovendegem;Vinderhoute;5.106.705.221.325.610;36.779.129.208.714.600;WGS84;Maurice E. M. Goetghebuer;Ochlerotatus rusticus;Animalia
Coll. M. Goetghebuer;MODIRISK:RBINS Diptera: Culicidae Collection;PreservedSpecimen;RBINS:modirisk:collection:631;Maurice E. M. Goetghebuer;Female;Adult;3/06/1920;1920;1911-1920;6;3;Melle;;5.102.117.992.362.910;3.819.822.943.242.220;WGS84;Maurice E. M. Goetghebuer;Ochlerotatus rusticus;Animalia
Coll. M. Goetghebuer;MODIRISK:RBINS Diptera: Culicidae Collection;PreservedSpecimen;RBINS:modirisk:collection:632;Maurice E. M. Goetghebuer;Female;Adult;6/05/1920;1920;1911-1920;5;6;Merelbeke;;50.976.699.647.716.200;3.747.817.782.074.570;WGS84;Maurice E. M. Goetghebuer;Ochlerotatus rusticus;Animalia
Coll. M. Goetghebuer;MODIRISK:RBINS Diptera: Culicidae Collection;PreservedSpecimen;RBINS:modirisk:collection:633;Maurice E. M. Goetghebuer;Male;Adult;6/05/1920;1920;1911-1920;5;6;Merelbeke;;50.976.699.647.716.200;3.747.817.782.074.570;WGS84;Maurice E. M. Goetghebuer;Ochlerotatus rusticus;Animalia
RINS Additional Collection;MODIRISK:RBINS Diptera: Culicidae Collection;PreservedSpecimen;RBINS:modirisk:collection:755;Guilliaume Severin;Female;Adult;1/12/1920;1920;1911-1920;12;1;Lo;;50.978.827.518.500.800;2.750.718.434.121.390;WGS84;Wouter Dekoninck;Culex pipiens;Animalia
RINS Additional Collection;MODIRISK:RBINS Diptera: Culicidae Collection;PreservedSpecimen;RBINS:modirisk:collection:930;A. Koller;Male;Adult;26/06/1920;1920;1911-1920;6;26;Blankenberge;;5.129.377.406.094.240;3.107.565.659.854.870;WGS84;Wouter Dekoninck;Culex pipiens;Animalia
RINS Additional Collection;MODIRISK:RBINS Diptera: Culicidae Collection;PreservedSpecimen;RBINS:modirisk:collection:932;A. Koller;Male;Adult;27/10/1920;1920;1911-1920;10;27;Zaventem;;5.088.007.353.912.030;4.457.026.014.432.130;WGS84;Wouter Dekoninck;Culex pipiens;Animalia
RINS Additional Collection;MODIRISK:RBINS Diptera: Culicidae Collection;PreservedSpecimen;RBINS:modirisk:collection:977;Guilliaume Severin;Female;Adult;5/07/1920;1920;1911-1920;7;5;Ukkel;;5.079.103.769.697.870;4.383.313.667.769.990;WGS84;Wouter Dekoninck;Culex pipiens;Animalia
RINS Additional Collection;MODIRISK:RBINS Diptera: Culicidae Collection;PreservedSpecimen;RBINS:modirisk:collection:1169;Andr̩ L̩on Tonnoir;Female;Adult;jul/20;1920;1911-1920;7;;Stavelot;Hockai;5.040.285.972.003.670;5.920.039.195.430.380;WGS84;Wouter Dekoninck;Culiseta morsitans;Animalia
RINS Additional Collection;MODIRISK:RBINS Diptera: Culicidae Collection;PreservedSpecimen;RBINS:modirisk:collection:1228;Andr̩ L̩on Tonnoir;Female;Adult;11/06/1920;1920;1911-1920;6;11;;For̻t de Soignes;5.074.608.651.803.460;43.819.883.970.772.500;WGS84;Wouter Dekoninck;Ochlerotatus communis;Animalia
RINS Additional Collection;MODIRISK:RBINS Diptera: Culicidae Collection;PreservedSpecimen;RBINS:modirisk:collection:1323;Andr̩ L̩on Tonnoir;Female;Adult;2/07/1920;1920;1911-1920;7;2;Stavelot;Hockai;5.040.285.972.003.670;5.920.039.195.430.380;WGS84;Wouter Dekoninck;Ochlerotatus punctor;Animalia
RBINS Insect Collection;MODIRISK:RBINS Diptera: Culicidae Collection;PreservedSpecimen;RBINS:modirisk:collection:182;Maurice E. M. Goetghebuer;Female;Adult;1/05/1921;1921;1921-1930;5;1;Drongen;;5.106.705.221.325.610;36.779.129.208.714.600;WGS84;Maurice E. M. Goetghebuer;Culiseta morsitans;Animalia
RBINS Insect Collection;MODIRISK:RBINS Diptera: Culicidae Collection;PreservedSpecimen;RBINS:modirisk:collection:183;Maurice E. M. Goetghebuer;Male;Adult;1/05/1921;1921;1921-1930;5;1;Lovendegem;Vinderhoute;5.106.705.221.325.610;36.779.129.208.714.600;WGS84;Maurice E. M. Goetghebuer;Culiseta morsitans;Animalia
RBINS Insect Collection;MODIRISK:RBINS Diptera: Culicidae Collection;PreservedSpecimen;RBINS:modirisk:collection:184;Maurice E. M. Goetghebuer;Female;Adult;1/05/1921;1921;1921-1930;5;1;Lovendegem;Vinderhoute;5.106.705.221.325.610;36.779.129.208.714.600;WGS84;Maurice E. M. Goetghebuer;Culiseta morsitans;Animalia
RBINS Insect Collection;MODIRISK:RBINS Diptera: Culicidae Collection;PreservedSpecimen;RBINS:modirisk:collection:223;Maurice E. M. Goetghebuer;Male;Adult;14/04/1921;1921;1921-1930;4;14;Destelbergen;;5.106.613.746.522.110;38.206.169.257.590.400;WGS84;Eug̩ne S̩guy;Ochlerotatus punctor;Animalia
RBINS Insect Collection;MODIRISK:RBINS Diptera: Culicidae Collection;PreservedSpecimen;RBINS:modirisk:collection:229;Maurice E. M. Goetghebuer;Male;Adult;1/05/1921;1921;1921-1930;5;1;Lovendegem;Vinderhoute;5.106.705.221.325.610;36.779.129.208.714.600;WGS84;Maurice E. M. Goetghebuer;Ochlerotatus rusticus;Animalia
RBINS Insect Collection;MODIRISK:RBINS Diptera: Culicidae Collection;PreservedSpecimen;RBINS:modirisk:collection:230;Maurice E. M. Goetghebuer;Female;Adult;1/05/1921;1921;1921-1930;5;1;Lovendegem;Vinderhoute;5.106.705.221.325.610;36.779.129.208.714.600;WGS84;Maurice E. M. Goetghebuer;Ochlerotatus rusticus;Animalia
RBINS Insect Collection;MODIRISK:RBINS Diptera: Culicidae Collection;PreservedSpecimen;RBINS:modirisk:collection:233;Maurice E. M. Goetghebuer;Female;Adult;17/04/1921;1921;1921-1930;4;17;Lovendegem;Vinderhoute;5.106.705.221.325.610;36.779.129.208.714.600;WGS84;Maurice E. M. Goetghebuer;Ochlerotatus rusticus;Animalia
RBINS Insect Collection;MODIRISK:RBINS Diptera: Culicidae Collection;PreservedSpecimen;RBINS:modirisk:collection:234;Maurice E. M. Goetghebuer;Female;Adult;17/04/1921;1921;1921-1930;4;17;Lovendegem;Vinderhoute;5.106.705.221.325.610;36.779.129.208.714.600;WGS84;Maurice E. M. Goetghebuer;Ochlerotatus rusticus;Animalia
RBINS Insect Collection;MODIRISK:RBINS Diptera: Culicidae Collection;PreservedSpecimen;RBINS:modirisk:collection:238;Maurice E. M. Goetghebuer;Female;Adult;25/03/1921;1921;1921-1930;3;25;Destelbergen;;5.106.613.746.522.110;38.206.169.257.590.400;WGS84;Maurice E. M. Goetghebuer;Ochlerotatus sticticus;Animalia
RBINS Insect Collection;MODIRISK:RBINS Diptera: Culicidae Collection;PreservedSpecimen;RBINS:modirisk:collection:239;Maurice E. M. Goetghebuer;Male;Adult;25/03/1921;1921;1921-1930;3;25;Destelbergen;;5.106.613.746.522.110;38.206.169.257.590.400;WGS84;Maurice E. M. Goetghebuer;Ochlerotatus sticticus;Animalia
Coll. M. Goetghebuer;MODIRISK:RBINS Diptera: Culicidae Collection;PreservedSpecimen;RBINS:modirisk:collection:411;Maurice E. M. Goetghebuer;Male;Adult;26/04/1921;1921;1921-1930;4;26;Lovendegem;Vinderhoute;5.106.705.221.325.610;36.779.129.208.714.600;WGS84;Maurice E. M. Goetghebuer;Anopheles claviger;Animalia
Coll. M. Goetghebuer;MODIRISK:RBINS Diptera: Culicidae Collection;PreservedSpecimen;RBINS:modirisk:collection:413;Maurice E. M. Goetghebuer;Male;Adult;28/04/1921;1921;1921-1930;4;28;Melle;;5.102.117.992.362.910;3.819.822.943.242.220;WGS84;Maurice E. M. Goetghebuer;Anopheles claviger;Animalia
Coll. M. Goetghebuer;MODIRISK:RBINS Diptera: Culicidae Collection;PreservedSpecimen;RBINS:modirisk:collection:415;Maurice E. M. Goetghebuer;Female;Adult;3/04/1921;1921;1921-1930;4;3;Lovendegem;Vinderhoute;5.106.705.221.325.610;36.779.129.208.714.600;WGS84;Maurice E. M. Goetghebuer;Anopheles claviger;Animalia
Coll. M. Goetghebuer;MODIRISK:RBINS Diptera: Culicidae Collection;PreservedSpecimen;RBINS:modirisk:collection:465;Maurice E. M. Goetghebuer;Female;Adult;12/05/1921;1921;1921-1930;5;12;Destelbergen;;5.106.613.746.522.110;38.206.169.257.590.400;WGS84;Maurice E. M. Goetghebuer;Culex pipiens;Animalia
