collectionCode;datasetName;basisOfRecord;occurrenceID;recordedBy;sex;lifeStage;eventDate;year;yearPeriod;month;day;municipality;locality;decimalLatitude;decimalLongitude;geodeticDatum;identifiedBy;scientificName;kingdom
RBINS Insect Collection;MODIRISK:RBINS Diptera: Culicidae Collection;PreservedSpecimen;RBINS:modirisk:collection:89;E. Coucke;Female;Adult;21/4/1892;1892;< 1900;4;21;Ixelles;;5.083.598.850.241.610;4.384.642.333.258.970;WGS84;Maurice E. M. Goetghebuer;Culex pipiens;Animalia
RBINS Insect Collection;MODIRISK:RBINS Diptera: Culicidae Collection;PreservedSpecimen;RBINS:modirisk:collection:94;E. Coucke;Female;Adult;22/4/1892;1892;< 1900;4;22;Brussel;;5.083.598.850.241.610;4.384.642.333.258.970;WGS84;Maurice E. M. Goetghebuer;Culex pipiens;Animalia
RBINS Insect Collection;MODIRISK:RBINS Diptera: Culicidae Collection;PreservedSpecimen;RBINS:modirisk:collection:97;E. Coucke;Female;Adult;24/5/1892;1892;< 1900;5;24;Ixelles;;5.083.598.850.241.610;4.384.642.333.258.970;WGS84;Maurice E. M. Goetghebuer;Culex pipiens;Animalia
RBINS Insect Collection;MODIRISK:RBINS Diptera: Culicidae Collection;PreservedSpecimen;RBINS:modirisk:collection:107;E. Coucke;Female;Adult;26/8/1892;1892;< 1900;8;26;Etterbeek;;5.083.598.850.241.610;4.384.642.333.258.970;WGS84;Maurice E. M. Goetghebuer;Culex pipiens;Animalia
RBINS Insect Collection;MODIRISK:RBINS Diptera: Culicidae Collection;PreservedSpecimen;RBINS:modirisk:collection:108;E. Coucke;Female;Adult;27/3/1892;1892;< 1900;3;27;Brussel;;5.083.598.850.241.610;4.384.642.333.258.970;WGS84;Maurice E. M. Goetghebuer;Culex pipiens;Animalia
RBINS Insect Collection;MODIRISK:RBINS Diptera: Culicidae Collection;PreservedSpecimen;RBINS:modirisk:collection:110;E. Coucke;Female;Adult;28/3/1892;1892;< 1900;3;28;Brussel;;5.083.598.850.241.610;4.384.642.333.258.970;WGS84;Maurice E. M. Goetghebuer;Culex pipiens;Animalia
RBINS Insect Collection;MODIRISK:RBINS Diptera: Culicidae Collection;PreservedSpecimen;RBINS:modirisk:collection:119;E. Coucke;Female;Adult;31/3/1892;1892;< 1900;3;31;Etterbeek;;5.083.598.850.241.610;4.384.642.333.258.970;WGS84;Maurice E. M. Goetghebuer;Culex pipiens;Animalia
RBINS Insect Collection;MODIRISK:RBINS Diptera: Culicidae Collection;PreservedSpecimen;RBINS:modirisk:collection:120;E. Coucke;Female;Adult;4/5/1892;1892;< 1900;5;4;Ixelles;;5.083.598.850.241.610;4.384.642.333.258.970;WGS84;Maurice E. M. Goetghebuer;Culex pipiens;Animalia
RBINS Insect Collection;MODIRISK:RBINS Diptera: Culicidae Collection;PreservedSpecimen;RBINS:modirisk:collection:121;E. Coucke;Male;Adult;4/9/1892;1892;< 1900;9;4;Sint-Lambrechts-Woluwe;;5.083.598.850.241.610;4.384.642.333.258.970;WGS84;Maurice E. M. Goetghebuer;Culex pipiens;Animalia
RBINS Insect Collection;MODIRISK:RBINS Diptera: Culicidae Collection;PreservedSpecimen;RBINS:modirisk:collection:123;E. Coucke;Female;Adult;5/4/1892;1892;< 1900;4;5;Brussel;;5.083.598.850.241.610;4.384.642.333.258.970;WGS84;Maurice E. M. Goetghebuer;Culex pipiens;Animalia
RBINS Insect Collection;MODIRISK:RBINS Diptera: Culicidae Collection;PreservedSpecimen;RBINS:modirisk:collection:128;E. Coucke;Female;Adult;6/4/1892;1892;< 1900;4;6;Ixelles;;5.083.598.850.241.610;4.384.642.333.258.970;WGS84;Maurice E. M. Goetghebuer;Culex pipiens;Animalia
RBINS Insect Collection;MODIRISK:RBINS Diptera: Culicidae Collection;PreservedSpecimen;RBINS:modirisk:collection:147;E. Coucke;Female;Adult;14/9/1892;1892;< 1900;9;14;Elsene;Ter Kameren;5.083.598.850.241.610;4.384.642.333.258.970;WGS84;Maurice E. M. Goetghebuer;Culiseta annulata;Animalia
RBINS Insect Collection;MODIRISK:RBINS Diptera: Culicidae Collection;PreservedSpecimen;RBINS:modirisk:collection:174;E. Coucke;Female;Adult;7/4/1892;1892;< 1900;4;7;Etterbeek;;5.083.598.850.241.610;4.384.642.333.258.970;WGS84;Maurice E. M. Goetghebuer;Culiseta annulata;Animalia
RBINS Insect Collection;MODIRISK:RBINS Diptera: Culicidae Collection;PreservedSpecimen;RBINS:modirisk:collection:179;E. Coucke;Male;Adult;8/9/1892;1892;< 1900;9;8;Etterbeek;;5.083.598.850.241.610;4.384.642.333.258.970;WGS84;Maurice E. M. Goetghebuer;Culiseta annulata;Animalia
RINS Additional Collection;MODIRISK:RBINS Diptera: Culicidae Collection;PreservedSpecimen;RBINS:modirisk:collection:1105;J. Verbeke;Female;Adult;25/3/1892;1892;< 1900;3;25;Destelbergen;;5.106.613.746.522.110;38.206.169.257.590.400;WGS84;Wouter Dekoninck;Culiseta annulata;Animalia
RBINS Insect Collection;MODIRISK:RBINS Diptera: Culicidae Collection;PreservedSpecimen;RBINS:modirisk:collection:53;E. Coucke;Female;Adult;10/9/1893;1893;< 1900;9;10;Etterbeek;;5.083.598.850.241.610;4.384.642.333.258.970;WGS84;Maurice E. M. Goetghebuer;Culex pipiens;Animalia
RBINS Insect Collection;MODIRISK:RBINS Diptera: Culicidae Collection;PreservedSpecimen;RBINS:modirisk:collection:74;E. Coucke;Female;Adult;15/8/1893;1893;< 1900;8;15;Fl̩ron;;5.063.417.213.139.910;56.514.870.605.177;WGS84;Maurice E. M. Goetghebuer;Culex pipiens;Animalia
RBINS Insect Collection;MODIRISK:RBINS Diptera: Culicidae Collection;PreservedSpecimen;RBINS:modirisk:collection:75;E. Coucke;Female;Adult;15/8/1893;1893;< 1900;8;15;Etterbeek;;5.083.598.850.241.610;4.384.642.333.258.970;WGS84;Maurice E. M. Goetghebuer;Culex pipiens;Animalia
RBINS Insect Collection;MODIRISK:RBINS Diptera: Culicidae Collection;PreservedSpecimen;RBINS:modirisk:collection:76;E. Coucke;Male;Adult;15/8/1893;1893;< 1900;8;15;Etterbeek;;5.083.598.850.241.610;4.384.642.333.258.970;WGS84;Maurice E. M. Goetghebuer;Culex pipiens;Animalia
RBINS Insect Collection;MODIRISK:RBINS Diptera: Culicidae Collection;PreservedSpecimen;RBINS:modirisk:collection:81;E. Coucke;Female;Adult;19/7/1893;1893;< 1900;7;19;Brussel;;5.083.598.850.241.610;4.384.642.333.258.970;WGS84;Maurice E. M. Goetghebuer;Culex pipiens;Animalia
RBINS Insect Collection;MODIRISK:RBINS Diptera: Culicidae Collection;PreservedSpecimen;RBINS:modirisk:collection:96;E. Coucke;Female;Adult;23/5/1893;1893;< 1900;5;23;Brussel;;5.083.598.850.241.610;4.384.642.333.258.970;WGS84;Maurice E. M. Goetghebuer;Culex pipiens;Animalia
RBINS Insect Collection;MODIRISK:RBINS Diptera: Culicidae Collection;PreservedSpecimen;RBINS:modirisk:collection:101;E. Coucke;Male;Adult;25/8/1893;1893;< 1900;8;25;Fl̩ron;;5.063.417.213.139.910;56.514.870.605.177;WGS84;Maurice E. M. Goetghebuer;Culex pipiens;Animalia
RBINS Insect Collection;MODIRISK:RBINS Diptera: Culicidae Collection;PreservedSpecimen;RBINS:modirisk:collection:118;E. Coucke;Male;Adult;30/7/1893;1893;< 1900;7;30;Fl̩ron;;5.063.417.213.139.910;56.514.870.605.177;WGS84;Maurice E. M. Goetghebuer;Culex pipiens;Animalia
RBINS Insect Collection;MODIRISK:RBINS Diptera: Culicidae Collection;PreservedSpecimen;RBINS:modirisk:collection:23;E. Coucke;Female;Adult;13/1/1894;1894;< 1900;1;13;Etterbeek;;5.083.598.850.241.610;4.384.642.333.258.970;WGS84;Maurice E. M. Goetghebuer;Anopheles maculipennis;Animalia
RBINS Insect Collection;MODIRISK:RBINS Diptera: Culicidae Collection;PreservedSpecimen;RBINS:modirisk:collection:24;E. Coucke;Female;Adult;13/1/1894;1894;< 1900;1;13;Etterbeek;;5.083.598.850.241.610;4.384.642.333.258.970;WGS84;Maurice E. M. Goetghebuer;Anopheles maculipennis;Animalia
RBINS Insect Collection;MODIRISK:RBINS Diptera: Culicidae Collection;PreservedSpecimen;RBINS:modirisk:collection:25;E. Coucke;Female;Adult;2/4/1894;1894;< 1900;4;2;Fl̩ron;;5.063.417.213.139.910;56.514.870.605.177;WGS84;Maurice E. M. Goetghebuer;Anopheles maculipennis;Animalia
RBINS Insect Collection;MODIRISK:RBINS Diptera: Culicidae Collection;PreservedSpecimen;RBINS:modirisk:collection:27;E. Coucke;Female;Adult;26/2/1894;1894;< 1900;2;26;Fl̩ron;;5.063.417.213.139.910;56.514.870.605.177;WGS84;Maurice E. M. Goetghebuer;Anopheles maculipennis;Animalia
RBINS Insect Collection;MODIRISK:RBINS Diptera: Culicidae Collection;PreservedSpecimen;RBINS:modirisk:collection:50;E. Coucke;Female;Adult;10/7/1894;1894;< 1900;7;10;Etterbeek;;5.083.598.850.241.610;4.384.642.333.258.970;WGS84;Maurice E. M. Goetghebuer;Culex pipiens;Animalia
RBINS Insect Collection;MODIRISK:RBINS Diptera: Culicidae Collection;PreservedSpecimen;RBINS:modirisk:collection:57;E. Coucke;Female;Adult;12/4/1894;1894;< 1900;4;12;Evegn̩e;;5.063.254.256.358.510;5.722.109.426.202.700;WGS84;Maurice E. M. Goetghebuer;Culex pipiens;Animalia
RBINS Insect Collection;MODIRISK:RBINS Diptera: Culicidae Collection;PreservedSpecimen;RBINS:modirisk:collection:68;E. Coucke;Female;Adult;13/8/1894;1894;< 1900;8;13;Brussel;;5.083.598.850.241.610;4.384.642.333.258.970;WGS84;Wouter Dekoninck;Culex pipiens;Animalia
RBINS Insect Collection;MODIRISK:RBINS Diptera: Culicidae Collection;PreservedSpecimen;RBINS:modirisk:collection:70;E. Coucke;Male;Adult;14/8/1894;1894;< 1900;8;14;Etterbeek;;5.083.598.850.241.610;4.384.642.333.258.970;WGS84;Maurice E. M. Goetghebuer;Culex pipiens;Animalia
