collectionCode;disposition;originalNameUsage;scientificName;genus;specificEpithet;type;language;license;rightsHolder;accessRights;institutionCode;datasetName;ownerInstitutionCode;basisOfREcord;countryCode;geodeticDatum;kingdom;nomenclaturalCode;eventDate;day;month;year;dateLength;locality;localityLatitude;LocalityLongitude;municipality;verbatimCoordinates;recordedBy;identifiedBy;sex;lifestage;preparations;Veld12;catalogNumber;occurrenceID;georeferenceRemarks;stateProvince;verbatimLongitude;verbatimlatitude;TAG;POINT_X;POINT_Y;decimalLongitude;decimalLatitude
RBINS Insect Collection;in collection;Anopheles maculipennis s.s. Meigen, 1818;Anopheles maculipennis;Anopheles;maculipennis;Event;en;https://creativecommons.org/licenses/by-nc/4.0/;RBINS;http://www.inbo.be/en/norms-for-data-use;RBINS;MODIRISK:RBINS Diptera: Culicidae Collection;RBINS;PreservedSpecimen;BE;WGS84;Animalia;ICZN;11/06/1923;11;6;1923;true;Postel;5.128.763;51.931.199.999.999.900;Mol;FS58C;Guilliaume Severin;Maurice E. M. Goetghebuer;Female;Adult;Whole mount;3C-3-Culi-6;21;RBINS:modirisk:collection:21;centroid of respective UTM square given;Antwerp;20.705.183.349.999.700;2.184.847.379;FS58C;2.070.518.335;2.184.847.379;5.186.294.567.506.460;5.127.340.790.203.180
RBINS Insect Collection;in collection;Anopheles maculipennis s.s. Meigen, 1818;Anopheles maculipennis;Anopheles;maculipennis;Event;en;https://creativecommons.org/licenses/by-nc/4.0/;RBINS;http://www.inbo.be/en/norms-for-data-use;RBINS;MODIRISK:RBINS Diptera: Culicidae Collection;RBINS;PreservedSpecimen;BE;WGS84;Animalia;ICZN;11/08/1922;11;8;1922;true;Postel;5.128.763;51.931.199.999.999.900;Mol;FS58C;Guilliaume Severin;Maurice E. M. Goetghebuer;Male;Adult;Whole mount;3C-3-Culi-6;22;RBINS:modirisk:collection:22;centroid of respective UTM square given;Antwerp;20.705.183.349.999.700;2.184.847.379;FS58C;2.070.518.335;2.184.847.379;5.186.294.567.506.460;5.127.340.790.203.180
RBINS Insect Collection;in collection;Anopheles maculipennis s.s. Meigen, 1818;Anopheles maculipennis;Anopheles;maculipennis;Event;en;https://creativecommons.org/licenses/by-nc/4.0/;RBINS;http://www.inbo.be/en/norms-for-data-use;RBINS;MODIRISK:RBINS Diptera: Culicidae Collection;RBINS;PreservedSpecimen;BE;WGS84;Animalia;ICZN;13/1/1894;13;1;1894;true;;;;Etterbeek;ES93D;E. Coucke;Maurice E. M. Goetghebuer;Female;Adult;Whole mount;3C-3-Culi-6;23;RBINS:modirisk:collection:23;centroid of respective UTM square given;Brussels;1.511.193.395.999.960;16.950.813.789.999.800;ES93D;1.511.193.396;1.695.081.379;4.384.642.333.258.970;5.083.598.850.241.610
RBINS Insect Collection;in collection;Anopheles maculipennis s.s. Meigen, 1818;Anopheles maculipennis;Anopheles;maculipennis;Event;en;https://creativecommons.org/licenses/by-nc/4.0/;RBINS;http://www.inbo.be/en/norms-for-data-use;RBINS;MODIRISK:RBINS Diptera: Culicidae Collection;RBINS;PreservedSpecimen;BE;WGS84;Animalia;ICZN;13/1/1894;13;1;1894;true;;;;Etterbeek;ES93D;E. Coucke;Maurice E. M. Goetghebuer;Female;Adult;Whole mount;3C-3-Culi-6;24;RBINS:modirisk:collection:24;centroid of respective UTM square given;Brussels;1.511.193.395.999.960;16.950.813.789.999.800;ES93D;1.511.193.396;1.695.081.379;4.384.642.333.258.970;5.083.598.850.241.610
RBINS Insect Collection;in collection;Anopheles maculipennis s.s. Meigen, 1818;Anopheles maculipennis;Anopheles;maculipennis;Event;en;https://creativecommons.org/licenses/by-nc/4.0/;RBINS;http://www.inbo.be/en/norms-for-data-use;RBINS;MODIRISK:RBINS Diptera: Culicidae Collection;RBINS;PreservedSpecimen;BE;WGS84;Animalia;ICZN;2/4/1894;2;4;1894;true;;;;Fléron;FS81D;E. Coucke;Maurice E. M. Goetghebuer;Female;Adult;Whole mount;3C-3-Culi-6;25;RBINS:modirisk:collection:25;centroid of respective UTM square given;Luik;24.074.178.649.999.900;14.784.310.819.999.800;FS81D;2.407.417.865;1.478.431.082;56.514.870.605.177;5.063.417.213.139.910
RBINS Insect Collection;in collection;Anopheles maculipennis s.s. Meigen, 1818;Anopheles maculipennis;Anopheles;maculipennis;Event;en;https://creativecommons.org/licenses/by-nc/4.0/;RBINS;http://www.inbo.be/en/norms-for-data-use;RBINS;MODIRISK:RBINS Diptera: Culicidae Collection;RBINS;PreservedSpecimen;BE;WGS84;Animalia;ICZN;21/07/1922;21;7;1922;true;Postel;5.128.763;51.931.199.999.999.900;Mol;FS58C;Guilliaume Severin;Maurice E. M. Goetghebuer;Male;Adult;Whole mount;3C-3-Culi-6;26;RBINS:modirisk:collection:26;centroid of respective UTM square given;Antwerp;20.705.183.349.999.700;2.184.847.379;FS58C;2.070.518.335;2.184.847.379;5.186.294.567.506.460;5.127.340.790.203.180
RBINS Insect Collection;in collection;Anopheles maculipennis s.s. Meigen, 1818;Anopheles maculipennis;Anopheles;maculipennis;Event;en;https://creativecommons.org/licenses/by-nc/4.0/;RBINS;http://www.inbo.be/en/norms-for-data-use;RBINS;MODIRISK:RBINS Diptera: Culicidae Collection;RBINS;PreservedSpecimen;BE;WGS84;Animalia;ICZN;26/2/1894;26;2;1894;true;;;;Fléron;FS81D;E. Coucke;Maurice E. M. Goetghebuer;Female;Adult;Whole mount;3C-3-Culi-6;27;RBINS:modirisk:collection:27;centroid of respective UTM square given;Luik;24.074.178.649.999.900;14.784.310.819.999.800;FS81D;2.407.417.865;1.478.431.082;56.514.870.605.177;5.063.417.213.139.910
RBINS Insect Collection;in collection;Anopheles maculipennis s.s. Meigen, 1818;Anopheles maculipennis;Anopheles;maculipennis;Event;en;https://creativecommons.org/licenses/by-nc/4.0/;RBINS;http://www.inbo.be/en/norms-for-data-use;RBINS;MODIRISK:RBINS Diptera: Culicidae Collection;RBINS;PreservedSpecimen;BE;WGS84;Animalia;ICZN;26/08/1950;26;8;1950;true;;;;Oudergem;FS03C;A. Collart;A. Collart;Female;Adult;Whole mount;3C-3-Culi-6;28;RBINS:modirisk:collection:28;centroid of respective UTM square given;Brussels;1.561.196.543.999.980;16.941.553.079.999.900;FS03C;1.561.196.544;1.694.155.308;4.455.625.713.577.010;5.083.512.448.461.180
RBINS Insect Collection;in collection;Anopheles maculipennis s.s. Meigen, 1818;Anopheles maculipennis;Anopheles;maculipennis;Event;en;https://creativecommons.org/licenses/by-nc/4.0/;RBINS;http://www.inbo.be/en/norms-for-data-use;RBINS;MODIRISK:RBINS Diptera: Culicidae Collection;RBINS;PreservedSpecimen;BE;WGS84;Animalia;ICZN;5/05/1922;5;5;1922;true;Postel;5.128.763;51.931.199.999.999.900;Mol;FS58C;Guilliaume Severin;Maurice E. M. Goetghebuer;Female;Adult;Whole mount;3C-3-Culi-6;29;RBINS:modirisk:collection:29;centroid of respective UTM square given;Antwerp;20.705.183.349.999.700;2.184.847.379;FS58C;2.070.518.335;2.184.847.379;5.186.294.567.506.460;5.127.340.790.203.180
RBINS Insect Collection;in collection;Anopheles maculipennis s.s. Meigen, 1818;Anopheles maculipennis;Anopheles;maculipennis;Event;en;https://creativecommons.org/licenses/by-nc/4.0/;RBINS;http://www.inbo.be/en/norms-for-data-use;RBINS;MODIRISK:RBINS Diptera: Culicidae Collection;RBINS;PreservedSpecimen;BE;WGS84;Animalia;ICZN;jul/22;;7;1922;true;Postel;5.128.763;51.931.199.999.999.900;Mol;FS58C;Guilliaume Severin;Maurice E. M. Goetghebuer;Male;Adult;Whole mount;3C-3-Culi-6;30;RBINS:modirisk:collection:30;centroid of respective UTM square given;Antwerp;20.705.183.349.999.700;2.184.847.379;FS58C;2.070.518.335;2.184.847.379;5.186.294.567.506.460;5.127.340.790.203.180
