eventID,type,language,licence,rightsHolder,institutionCode,datasetName,locationID,dateIdentified,decimalLatitude,decimalLongitude,habitat,municipality,comments,eventDate
ITG:MOSQ:LARV:EV:N1L009Jul,event,en,https://creativecommons.org/licenses/by/2.0/,ITG,ITG,Exosurvey Larval Sampling,N1L009,2012/7/30,50.331197,5.031301,rain water barrel,Ciney,"Vincon, + 2 buckets",2012/7/27
ITG:MOSQ:LARV:EV:N1L009Oct,event,en,https://creativecommons.org/licenses/by/2.0/,ITG,ITG,Exosurvey Larval Sampling,N1L009,2012/10/23,50.331197,5.031301,rain water barrel,Ciney,"Vincon, + 2 buckets",2012/10/19
ITG:MOSQ:LARV:EV:N1L009Sep,event,en,https://creativecommons.org/licenses/by/2.0/,ITG,ITG,Exosurvey Larval Sampling,N1L009,2012/10/2,50.331197,5.031301,rain water barrel,Ciney,"Vincon, + 2 buckets",2012/9/20
ITG:MOSQ:LARV:EV:N1L010Apr,event,en,https://creativecommons.org/licenses/by/2.0/,ITG,ITG,Exosurvey Larval Sampling,N1L010,2012/4/18,50.3316001165932,5.0328486104137,tyre,Ciney,"Vincon, on silage & next to stable",2012/4/13
ITG:MOSQ:LARV:EV:N1L010Aug,event,en,https://creativecommons.org/licenses/by/2.0/,ITG,ITG,Exosurvey Larval Sampling,N1L010,2012/9/12,50.3316001165932,5.0328486104137,tyre,Ciney,"Vincon, on silage & next to stable",2012/8/24
ITG:MOSQ:LARV:EV:N1L010Ju2,event,en,https://creativecommons.org/licenses/by/2.0/,ITG,ITG,Exosurvey Larval Sampling,N1L010,2012/7/5,50.3316001165932,5.0328486104137,tyre,Ciney,"Vincon, on silage & next to stable",2012/6/26
ITG:MOSQ:LARV:EV:N1L010Jul,event,en,https://creativecommons.org/licenses/by/2.0/,ITG,ITG,Exosurvey Larval Sampling,N1L010,2012/7/30,50.3316001165932,5.0328486104137,tyre,Ciney,"Vincon, on silage & next to stable",2012/7/27
ITG:MOSQ:LARV:EV:N1L010Oct,event,en,https://creativecommons.org/licenses/by/2.0/,ITG,ITG,Exosurvey Larval Sampling,N1L010,2012/10/31,50.3316001165932,5.0328486104137,tyre,Ciney,"Vincon, on silage & next to stable",2012/10/19
ITG:MOSQ:LARV:EV:N1L010Sep,event,en,https://creativecommons.org/licenses/by/2.0/,ITG,ITG,Exosurvey Larval Sampling,N1L010,2012/10/2,50.3316001165932,5.0328486104137,tyre,Ciney,"Vincon, on silage & next to stable",2012/9/20
ITG:MOSQ:LARV:EV:N1L011Ap1,event,en,https://creativecommons.org/licenses/by/2.0/,ITG,ITG,Exosurvey Larval Sampling,N1L011,2012/4/18,50.327532,5.035719,water trough,Ciney,"Reuleau, open tank",2012/4/13
ITG:MOSQ:LARV:EV:N1L011Ju2,event,en,https://creativecommons.org/licenses/by/2.0/,ITG,ITG,Exosurvey Larval Sampling,N1L011,2012/8/9,50.327532,5.035719,water trough,Ciney,"Reuleau, open tank",2012/6/26
ITG:MOSQ:LARV:EV:N1L011May,event,en,https://creativecommons.org/licenses/by/2.0/,ITG,ITG,Exosurvey Larval Sampling,N1L011,2012/8/13,50.327532,5.035719,water trough,Ciney,"Reuleau, open tank",2012/5/18
