Subcollectie,originalNameUsage,genus,scientificName,specificEpithet,type,language,license,rightsHolder,accessRights,institutionCode,datasetName,ownerInstitutionCode,basisOfREcord,countryCode,geodeticDatum,kingdom,nomenclaturalCode,eventDate,locality,localityLatitude,LocalityLongitude,municipality,PLacetoGeoref,forGeoReference,Utm5km,recordedBy,identifiedBy,sex,lifestage,preparations,Veld12,catalogNumber,occurrenceID,Column,Provincie,X,Y,TAG,POINT_X,POINT_Y,decimalLongitude,decimalLatitude,datasetName2,georeferenceRemarks
Algemeen,"Anopheles maculipennis s.s. Meigen, 1818",Anopheles,Anopheles maculipennis,maculipennis,Event,en,https://creativecommons.org/licenses/by-nc/4.0/,RBINS,http://www.inbo.be/en/norms-for-data-use,RBINS,insertDatasetName,RBINS,PreservedSpecimen,BE,WGS84,Animalia,ICZN,11/6/1923,Postel,51.28763,5.1931199999999995,Mol,Postel Mol,"Mol, Postel",FS58C,Guilliaume Severin,Maurice E. M. Goetghebuer,Female,Adult,Whole mount,3C-3-Culi-6,21,RBINS:modirisk:collection::21,,Antwerp,207051.83349999785,218484.7379,FS58C,207051.8335,218484.7379,5.186294567506461,51.27340790203188,Modirisk_collection_data,georeference_attempt
Algemeen,"Anopheles maculipennis s.s. Meigen, 1818",Anopheles,Anopheles maculipennis,maculipennis,Event,en,https://creativecommons.org/licenses/by-nc/4.0/,RBINS,http://www.inbo.be/en/norms-for-data-use,RBINS,insertDatasetName,RBINS,PreservedSpecimen,BE,WGS84,Animalia,ICZN,11/8/1922,Postel,51.28763,5.1931199999999995,Mol,Postel Mol,"Mol, Postel",FS58C,Guilliaume Severin,Maurice E. M. Goetghebuer,Male,Adult,Whole mount,3C-3-Culi-6,22,RBINS:modirisk:collection::22,,Antwerp,207051.83349999785,218484.7379,FS58C,207051.8335,218484.7379,5.186294567506461,51.27340790203188,Modirisk_collection_data,georeference_attempt
Algemeen,"Anopheles maculipennis s.s. Meigen, 1818",Anopheles,Anopheles maculipennis,maculipennis,Event,en,https://creativecommons.org/licenses/by-nc/4.0/,RBINS,http://www.inbo.be/en/norms-for-data-use,RBINS,insertDatasetName,RBINS,PreservedSpecimen,BE,WGS84,Animalia,ICZN,13/1/1894, ,,,Etterbeek,Etterbeek,"Etterbeek,  ",ES93D,E. Coucke,Maurice E. M. Goetghebuer,Female,Adult,Whole mount,3C-3-Culi-6,23,RBINS:modirisk:collection::23,,Brussels,151119.3395999968,169508.13789999858,ES93D,151119.3396,169508.1379,4.384642333258973,50.83598850241617,Modirisk_collection_data,georeference_attempt
Algemeen,"Anopheles maculipennis s.s. Meigen, 1818",Anopheles,Anopheles maculipennis,maculipennis,Event,en,https://creativecommons.org/licenses/by-nc/4.0/,RBINS,http://www.inbo.be/en/norms-for-data-use,RBINS,insertDatasetName,RBINS,PreservedSpecimen,BE,WGS84,Animalia,ICZN,13/1/1894, ,,,Etterbeek,Etterbeek,"Etterbeek,  ",ES93D,E. Coucke,Maurice E. M. Goetghebuer,Female,Adult,Whole mount,3C-3-Culi-6,24,RBINS:modirisk:collection::24,,Brussels,151119.3395999968,169508.13789999858,ES93D,151119.3396,169508.1379,4.384642333258973,50.83598850241617,Modirisk_collection_data,georeference_attempt
Algemeen,"Anopheles maculipennis s.s. Meigen, 1818",Anopheles,Anopheles maculipennis,maculipennis,Event,en,https://creativecommons.org/licenses/by-nc/4.0/,RBINS,http://www.inbo.be/en/norms-for-data-use,RBINS,insertDatasetName,RBINS,PreservedSpecimen,BE,WGS84,Animalia,ICZN,2/4/1894, ,,,Fléron,Fléron,"Fléron,  ",FS81D,E. Coucke,Maurice E. M. Goetghebuer,Female,Adult,Whole mount,3C-3-Culi-6,25,RBINS:modirisk:collection::25,,Luik,240741.78649999946,147843.10819999874,FS81D,240741.7865,147843.1082,5.6514870605177,50.63417213139914,Modirisk_collection_data,georeference_attempt
Algemeen,"Anopheles maculipennis s.s. Meigen, 1818",Anopheles,Anopheles maculipennis,maculipennis,Event,en,https://creativecommons.org/licenses/by-nc/4.0/,RBINS,http://www.inbo.be/en/norms-for-data-use,RBINS,insertDatasetName,RBINS,PreservedSpecimen,BE,WGS84,Animalia,ICZN,21/7/1922,Postel,51.28763,5.1931199999999995,Mol,Postel Mol,"Mol, Postel",FS58C,Guilliaume Severin,Maurice E. M. Goetghebuer,Male,Adult,Whole mount,3C-3-Culi-6,26,RBINS:modirisk:collection::26,,Antwerp,207051.83349999785,218484.7379,FS58C,207051.8335,218484.7379,5.186294567506461,51.27340790203188,Modirisk_collection_data,georeference_attempt
Algemeen,"Anopheles maculipennis s.s. Meigen, 1818",Anopheles,Anopheles maculipennis,maculipennis,Event,en,https://creativecommons.org/licenses/by-nc/4.0/,RBINS,http://www.inbo.be/en/norms-for-data-use,RBINS,insertDatasetName,RBINS,PreservedSpecimen,BE,WGS84,Animalia,ICZN,26/2/1894, ,,,Fléron,Fléron,"Fléron,  ",FS81D,E. Coucke,Maurice E. M. Goetghebuer,Female,Adult,Whole mount,3C-3-Culi-6,27,RBINS:modirisk:collection::27,,Luik,240741.78649999946,147843.10819999874,FS81D,240741.7865,147843.1082,5.6514870605177,50.63417213139914,Modirisk_collection_data,georeference_attempt
Algemeen,"Anopheles maculipennis s.s. Meigen, 1818",Anopheles,Anopheles maculipennis,maculipennis,Event,en,https://creativecommons.org/licenses/by-nc/4.0/,RBINS,http://www.inbo.be/en/norms-for-data-use,RBINS,insertDatasetName,RBINS,PreservedSpecimen,BE,WGS84,Animalia,ICZN,26/8/1950, ,,,Oudergem,Oudergem,"Oudergem,  ",FS03C,A. Collart,A. Collart,Female,Adult,Whole mount,3C-3-Culi-6,28,RBINS:modirisk:collection::28,,Brussels,156119.6543999985,169415.53079999983,FS03C,156119.6544,169415.5308,4.455625713577015,50.83512448461186,Modirisk_collection_data,georeference_attempt
Algemeen,"Anopheles maculipennis s.s. Meigen, 1818",Anopheles,Anopheles maculipennis,maculipennis,Event,en,https://creativecommons.org/licenses/by-nc/4.0/,RBINS,http://www.inbo.be/en/norms-for-data-use,RBINS,insertDatasetName,RBINS,PreservedSpecimen,BE,WGS84,Animalia,ICZN,5/5/1922,Postel,51.28763,5.1931199999999995,Mol,Postel Mol,"Mol, Postel",FS58C,Guilliaume Severin,Maurice E. M. Goetghebuer,Female,Adult,Whole mount,3C-3-Culi-6,29,RBINS:modirisk:collection::29,,Antwerp,207051.83349999785,218484.7379,FS58C,207051.8335,218484.7379,5.186294567506461,51.27340790203188,Modirisk_collection_data,georeference_attempt
Algemeen,"Anopheles maculipennis s.s. Meigen, 1818",Anopheles,Anopheles maculipennis,maculipennis,Event,en,https://creativecommons.org/licenses/by-nc/4.0/,RBINS,http://www.inbo.be/en/norms-for-data-use,RBINS,insertDatasetName,RBINS,PreservedSpecimen,BE,WGS84,Animalia,ICZN,7/1922,Postel,51.28763,5.1931199999999995,Mol,Postel Mol,"Mol, Postel",FS58C,Guilliaume Severin,Maurice E. M. Goetghebuer,Male,Adult,Whole mount,3C-3-Culi-6,30,RBINS:modirisk:collection::30,,Antwerp,207051.83349999785,218484.7379,FS58C,207051.8335,218484.7379,5.186294567506461,51.27340790203188,Modirisk_collection_data,georeference_attempt
