id	type	license	institutionCode	basisOfRecord	dynamicProperties	occurrenceID	individualCount	sex	samplingProtocol	eventDate	year	verbatimEventDate	habitat	continent	country	countryCode	stateProvince	municipality	locality	locationRemarks	decimalLatitude	decimalLongitude	geodeticDatum	identifiedBy	scientificName	genus	specificEpithet
MODIRISK:4315	Event	CC BY 2.0 BE	UCL	HumanObservation	Stagnant water=true;Running water=true;Potential breeding site=true;Landscape=urban	MODIRISK:4315	1	Male	Mosquito Magnet Liberty Plus	2008-07-29	2008	2008-07-29/2008-08-05	urban	Europe	Belgium	BE	Flemish Brabant	Drieslinter		vijver in tuin	50.8141288799999984	5.01203012499999989	EPSG:4326	Wouter Dekoninck	Culex pipiens	Culex	pipiens
MODIRISK:4316	Event	CC BY 2.0 BE	UCL	HumanObservation	Stagnant water=true;Running water=true;Potential breeding site=true;Landscape=urban	MODIRISK:4316	8	Female	Mosquito Magnet Liberty Plus	2008-07-29	2008	2008-07-29/2008-08-05	urban	Europe	Belgium	BE	Flemish Brabant	Drieslinter		vijver in tuin	50.8141288799999984	5.01203012499999989	EPSG:4326	Wouter Dekoninck	Culex pipiens	Culex	pipiens
MODIRISK:4317	Event	CC BY 2.0 BE	UCL	HumanObservation	Stagnant water=false;Running water=false;Potential breeding site=true;Landscape=urban	MODIRISK:4317	1	Female	Mosquito Magnet Liberty Plus	2008-06-02	2008	2008-06-02/2008-06-09	urban	Europe	Belgium	BE	East Flanders	Buggenhout		Regenton bij buren			EPSG:4326	Wouter Dekoninck	Culex pipiens	Culex	pipiens
MODIRISK:4318	Event	CC BY 2.0 BE	UCL	HumanObservation	Stagnant water=true;Running water=true;Potential breeding site=true;Landscape=peri-urban	MODIRISK:4318	1	Female	Mosquito Magnet Liberty Plus	2008-05-19	2008	2008-05-19/2008-05-19	urban	Europe	Belgium	BE	East Flanders	Zele	100 Hoekstraat	Vlak langs brede beek (reservaat Durmemeersen!) + vijver in tuin  (Notenboom)			EPSG:4326	Wouter Dekoninck	Anopheles claviger	Anopheles	claviger
MODIRISK:4319	Event	CC BY 2.0 BE	UCL	HumanObservation	Stagnant water=true;Running water=true;Potential breeding site=true;Landscape=peri-urban	MODIRISK:4319	1	Male	Mosquito Magnet Liberty Plus	2008-05-19	2008	2008-05-19/2008-05-19	urban	Europe	Belgium	BE	East Flanders	Zele	100 Hoekstraat	Vlak langs brede beek (reservaat Durmemeersen!) + vijver in tuin  (Notenboom)			EPSG:4326	Wouter Dekoninck	Culex pipiens	Culex	pipiens
MODIRISK:4320	Event	CC BY 2.0 BE	UCL	HumanObservation	Stagnant water=false;Running water=false;Potential breeding site=false;Landscape=urban	MODIRISK:4320	5	Female	Mosquito Magnet Liberty Plus	2008-05-25	2008	2008-05-25/2008-06-01	urban	Europe	Belgium	BE	West Flanders	Sint-Eloois-Winkel	74 Roeselarestraat		50.8708801300000033	3.14695000599999997	EPSG:4326	Wouter Dekoninck	Culex pipiens	Culex	pipiens
MODIRISK:4321	Event	CC BY 2.0 BE	UCL	HumanObservation	Stagnant water=false;Running water=false;Potential breeding site=false;Landscape=urban	MODIRISK:4321	1	Female	Mosquito Magnet Liberty Plus	2008-05-25	2008	2008-05-25/2008-06-01	urban	Europe	Belgium	BE	West Flanders	Sint-Eloois-Winkel	74 Roeselarestraat		50.8708801300000033	3.14695000599999997	EPSG:4326	Wouter Dekoninck	Culiseta annulata	Culiseta	annulata
MODIRISK:4322	Event	CC BY 2.0 BE	UCL	HumanObservation	Stagnant water=true;Running water=false;Potential breeding site=true;Landscape=urban	MODIRISK:4322	4	Female	Mosquito Magnet Liberty Plus	2008-07-28	2008	2008-07-28/2008-08-04	urban	Europe	Belgium	BE	Flemish Brabant	Hofstade		vijvertje bij buren	50.9894409199999998	4.49276018100000041	EPSG:4326	Wouter Dekoninck	Culex pipiens	Culex	pipiens
MODIRISK:4323	Event	CC BY 2.0 BE	UCL	HumanObservation	Stagnant water=true;Running water=false;Potential breeding site=true;Landscape=urban	MODIRISK:4323	13	Female	Mosquito Magnet Liberty Plus	2008-09-15	2008	2008-09-15/2008-09-22	urban	Europe	Belgium	BE	West Flanders	Westkapelle		Emmer water onder pomp, stadstuintjes	51.3386116000000001	3.30194997800000012	EPSG:4326	Wouter Dekoninck	Culex pipiens	Culex	pipiens
MODIRISK:4324	Event	CC BY 2.0 BE	UCL	HumanObservation	Stagnant water=true;Running water=false;Potential breeding site=true;Landscape=urban	MODIRISK:4324	3	Male	Mosquito Magnet Liberty Plus	2008-09-15	2008	2008-09-15/2008-09-22	urban	Europe	Belgium	BE	West Flanders	Westkapelle		Emmer water onder pomp, stadstuintjes	51.3386116000000001	3.30194997800000012	EPSG:4326	Wouter Dekoninck	Culex pipiens	Culex	pipiens
