samplingID,genus,lifeStage,locationID,sex,scientificName,Tubenumber,occurrenceRemarks,dateIdentified,individualCount,identifiedBy,decimalLatitude,decimalLongitude,habitat,municipality,comments
M2L019Aug,Culex,Larva,M2L019,NA,pipiens/torrentium,EL110,,2012/9/13 0:00:00,9,Isra Deblauwe,"50,99","5,62",bucket,Maasmechelen,on private property of APK Infra & Bouw
M2L019Aug,Aedes,Larva,M2L019,NA,koreicus,EL111,,2012/9/13 0:00:00,1,Isra Deblauwe,"50,99","5,62",bucket,Maasmechelen,on private property of APK Infra & Bouw
M2L020Aug,Culex,Larva,M2L020,NA,pipiens/torrentium,EL112,,2012/9/13 0:00:00,2,Isra Deblauwe,"50,99","5,62",metal container,Maasmechelen,on private property of APK Infra & Bouw
M2L020Aug,Aedes,Larva,M2L020,NA,koreicus,EL113,,2012/9/13 0:00:00,8,Isra Deblauwe,"50,99","5,62",metal container,Maasmechelen,on private property of APK Infra & Bouw
M2L021Aug,Aedes,Larva,M2L021,NA,koreicus,EL114,,2012/9/13 0:00:00,1,Isra Deblauwe,"50,99","5,62",tyre,Maasmechelen,APK Infra & Bouw
M2L023Aug,Culex,Larva,M2L023,NA,pipiens/torrentium,EL115,,2012/9/13 0:00:00,11,Isra Deblauwe,"50,99","5,67",tyre,Maasmechelen,close to road
M2L023Aug,Anopheles,Larva,M2L023,NA,plumbeus,EL116,,2012/9/13 0:00:00,8,Isra Deblauwe,"50,99","5,67",tyre,Maasmechelen,close to road
M2L024Aug,Culex,Larva,M2L024,NA,pipiens/torrentium,EL117,open bidon,2012/9/13 0:00:00,42,Isra Deblauwe,"50,99","5,63",plastic container,Maasmechelen,close to car cemetry Armand Lowie
M2L024Aug,Culiseta,Larva,M2L024,NA,annulata,EL118,open bidon,2012/9/13 0:00:00,1,Isra Deblauwe,"50,99","5,63",plastic container,Maasmechelen,close to car cemetry Armand Lowie
M2L024Aug,Culex,Larva,M2L024,NA,pipiens/torrentium,EL119,white plate,2012/9/13 0:00:00,18,Isra Deblauwe,"50,99","5,63",plastic container,Maasmechelen,close to car cemetry Armand Lowie
M2L024Aug,Aedes,Larva,M2L024,NA,koreicus,EL120,white plate,2012/9/13 0:00:00,26,Isra Deblauwe,"50,99","5,63",plastic container,Maasmechelen,close to car cemetry Armand Lowie
M2L025Aug,Culex,Larva,M2L025,NA,pipiens/torrentium,EL121,tyre,2012/9/13 0:00:00,5,Isra Deblauwe,"50,99","5,63",tyre,Maasmechelen,next to car cemetry Armand Lowie
M2L025Aug,Culiseta,Larva,M2L025,NA,annulata,EL122,tyre,2012/9/13 0:00:00,3,Isra Deblauwe,"50,99","5,63",tyre,Maasmechelen,next to car cemetry Armand Lowie
M2L026Aug,Culex,Larva,M2L026,NA,pipiens/torrentium,EL123,yellow sheet,2012/9/13 0:00:00,69,Isra Deblauwe,"50,99","5,63",plastic sheet,Maasmechelen,Grondzorg Limburg NV at end of road next to Mechelse Bos
M2L026Aug,Aedes,Larva,M2L026,NA,koreicus,EL124,yellow sheet,2012/9/13 0:00:00,8,Isra Deblauwe,"50,99","5,63",plastic sheet,Maasmechelen,Grondzorg Limburg NV at end of road next to Mechelse Bos
M2L022Aug,Aedes,Larva,M2L022,NA,koreicus,EL125,,2012/9/13 0:00:00,33,Isra Deblauwe,"50,99","5,62",plastic sheet,Maasmechelen,APK Infra & Bouw
TRL002Au2,Culex,Larva,TRL002,NA,pipiens/torrentium,EL126,,2012/9/14 0:00:00,8,Isra Deblauwe,"50,47","4,14",tyre,La Louviere,inside
TRL002Au2,Anopheles,Larva,TRL002,NA,plumbeus,EL127,1 pupa,2012/9/14 0:00:00,3,Isra Deblauwe,"50,47","4,14",tyre,La Louviere,inside
TRL001Au2,Culex,Larva,TRL001,NA,pipiens/torrentium,EL128,,2012/9/14 0:00:00,21,Isra Deblauwe,"50,47","4,14",tyre,La Louviere,outside
TRL001Au2,Anopheles,Larva,TRL001,NA,plumbeus,EL129,,2012/9/14 0:00:00,4,Isra Deblauwe,"50,47","4,14",tyre,La Louviere,outside
TRL001Au2,Culiseta,Larva,TRL001,NA,annulata,EL130,small larvae,2012/9/14 0:00:00,2,Isra Deblauwe,"50,47","4,14",tyre,La Louviere,outside
VPL001Aug,Culex,Larva,VPL001,NA,pipiens/torrentium,EL131,,2012/9/14 0:00:00,6,Isra Deblauwe,"50,58","5,25",tyre,Villers Le Bouillet,
VPL001Sep,Culex,Larva,VPL001,NA,pipiens/torrentium,EL132,,2012/9/14 0:00:00,80,Isra Deblauwe,"50,58","5,25",tyre,Villers Le Bouillet,
ATL001Au2,Culex,Larva,ATL001,NA,pipiens/torrentium,EL133,,2012/9/14 0:00:00,16,Isra Deblauwe,"51,21","4,19",tyre,Beveren,Vrasene
ATL001Au2,Anopheles,Larva,ATL001,NA,plumbeus,EL134,,2012/9/14 0:00:00,3,Isra Deblauwe,"51,21","4,19",tyre,Beveren,Vrasene
ATL001Sep,Culex,Larva,ATL001,NA,pipiens/torrentium,EL135,,2012/9/14 0:00:00,17,Isra Deblauwe,"51,21","4,19",tyre,Beveren,Vrasene
N1L028Sep,Culex,Larva,N1L028,NA,pipiens/torrentium,EL136,small larvae,2012/10/1 0:00:00,6,Isra Deblauwe,"50,34","5,04",water trough,Hamois,"Natoye, in front of football field"
N1L027Sep,Culex,Larva,N1L027,NA,pipiens/torrentium,EL137,small larvae,2012/10/1 0:00:00,81,Isra Deblauwe,"50,36","4,99",plastic container,Assesse,next to N1L018
N1L018Sep,Culex,Larva,N1L018,NA,pipiens/torrentium,EL138,,2012/10/1 0:00:00,32,Isra Deblauwe,"50,36","4,99",tyre,Assesse,tyres next to field
N1L023Sep,Culex,Larva,N1L023,NA,h. hortensis,EL139,,2012/10/1 0:00:00,2,Isra Deblauwe,"50,27","4,98",water trough,Dinant,
N1L023Sep,Culex,Larva,N1L023,NA,pipiens/torrentium,EL140,,2012/10/1 0:00:00,3,Isra Deblauwe,"50,27","4,98",water trough,Dinant,
