id	type	language	license	rightsHolder	accessRights	institutionCode	collectionCode	datasetName	ownerInstitutionCode	basisOfRecord	occurrenceID	catalogNumber	recordedBy	sex	lifeStage	preparations	disposition	eventDate	year	month	day	countryCode	stateProvince	municipality	locality	verbatimCoordinates	verbatimLatitude	verbatimLongitude	decimalLatitude	decimalLongitude	geodeticDatum	georeferenceRemarks	identifiedBy	scientificName	originalNameUsage	kingdom	genus	specificEpithet	nomenclaturalCode
RBINS:modirisk:collection:967	Event	en	https://creativecommons.org/licenses/by-nc/4.0/	RBINS	http://www.inbo.be/en/norms-for-data-use	RBINS	RINS Additional Collection	MODIRISK:RBINS Diptera: Culicidae Collection	RBINS	PreservedSpecimen	RBINS:modirisk:collection:967	967	R. Tollet	Male	Adult	Whole mount	in collection	31/7/1942	1942	7	31	BE			Forêt de Soignes (Vallon Notre Dame)	FS02A	164415.25710000098	156027.06759999692	50.79017505335694	4.454228994569034	WGS84	centroid of respective UTM square given	Wouter Dekoninck	Culex pipiens	Culex pipiens Linnaeus, 1758	Animalia	Culex	pipiens	ICZN
RBINS:modirisk:collection:968	Event	en	https://creativecommons.org/licenses/by-nc/4.0/	RBINS	http://www.inbo.be/en/norms-for-data-use	RBINS	RINS Additional Collection	MODIRISK:RBINS Diptera: Culicidae Collection	RBINS	PreservedSpecimen	RBINS:modirisk:collection:968	968	R. Tollet	Female	Adult	Whole mount	in collection	31/7/1942	1942	7	31	BE			Forêt de Soignes (Vallon Notre Dame)	FS02A	164415.25710000098	156027.06759999692	50.79017505335694	4.454228994569034	WGS84	centroid of respective UTM square given	Wouter Dekoninck	Culex pipiens	Culex pipiens Linnaeus, 1758	Animalia	Culex	pipiens	ICZN
RBINS:modirisk:collection:969	Event	en	https://creativecommons.org/licenses/by-nc/4.0/	RBINS	http://www.inbo.be/en/norms-for-data-use	RBINS	RINS Additional Collection	MODIRISK:RBINS Diptera: Culicidae Collection	RBINS	PreservedSpecimen	RBINS:modirisk:collection:969	969	Antoine Ball	Female	Adult	Whole mount	in collection	4/10/1933	1933	10	4	BE	East Flanders	Moorsel		ES74D	179879.52439999953	131302.61850000173	50.92892297322338	4.102797298459452	WGS84	centroid of respective UTM square given	Wouter Dekoninck	Culex pipiens	Culex pipiens Linnaeus, 1758	Animalia	Culex	pipiens	ICZN
RBINS:modirisk:collection:970	Event	en	https://creativecommons.org/licenses/by-nc/4.0/	RBINS	http://www.inbo.be/en/norms-for-data-use	RBINS	RINS Additional Collection	MODIRISK:RBINS Diptera: Culicidae Collection	RBINS	PreservedSpecimen	RBINS:modirisk:collection:970	970	A. Collart	Female	Adult	Whole mount	in collection	4/10/1942	1942	10	4	BE	Luik	Trooz	Cave droite de Fond-de-Forêt (B.8)	FS80B	142844.40989999846	240649.3403000012	50.589254777559084	5.64896163270181	WGS84	centroid of respective UTM square given	Wouter Dekoninck	Culex pipiens	Culex pipiens Linnaeus, 1758	Animalia	Culex	pipiens	ICZN
RBINS:modirisk:collection:971	Event	en	https://creativecommons.org/licenses/by-nc/4.0/	RBINS	http://www.inbo.be/en/norms-for-data-use	RBINS	RINS Additional Collection	MODIRISK:RBINS Diptera: Culicidae Collection	RBINS	PreservedSpecimen	RBINS:modirisk:collection:971	971	Robert Leruth	Female	Adult	Whole mount	in collection	4/9/1935	1935	9	4	BE	Namen	Rochefort	Grotte de Tridaine (B.20)	FR56D	98404.48580000176	209827.84939999878	50.19371804832431	5.20663831774551	WGS84	centroid of respective UTM square given	Wouter Dekoninck	Culex pipiens	Culex pipiens Linnaeus, 1758	Animalia	Culex	pipiens	ICZN
RBINS:modirisk:collection:972	Event	en	https://creativecommons.org/licenses/by-nc/4.0/	RBINS	http://www.inbo.be/en/norms-for-data-use	RBINS	RINS Additional Collection	MODIRISK:RBINS Diptera: Culicidae Collection	RBINS	PreservedSpecimen	RBINS:modirisk:collection:972	972	R. Tollet	Male	Adult	Whole mount	in collection	4/9/1942	1942	9	4	BE			Forêt de Soignes (Grasdelle)	ES92B	164507.80200000107	151026.7729000002	50.79103769697872	4.383313667769996	WGS84	centroid of respective UTM square given	Wouter Dekoninck	Culex pipiens	Culex pipiens Linnaeus, 1758	Animalia	Culex	pipiens	ICZN
RBINS:modirisk:collection:973	Event	en	https://creativecommons.org/licenses/by-nc/4.0/	RBINS	http://www.inbo.be/en/norms-for-data-use	RBINS	RINS Additional Collection	MODIRISK:RBINS Diptera: Culicidae Collection	RBINS	PreservedSpecimen	RBINS:modirisk:collection:973	973	R. Tollet	Female	Adult	Whole mount	in collection	4/9/1942	1942	9	4	BE			Forêt de Soignes (Grasdelle)	ES92B	164507.80200000107	151026.7729000002	50.79103769697872	4.383313667769996	WGS84	centroid of respective UTM square given	Wouter Dekoninck	Culex pipiens	Culex pipiens Linnaeus, 1758	Animalia	Culex	pipiens	ICZN
RBINS:modirisk:collection:974	Event	en	https://creativecommons.org/licenses/by-nc/4.0/	RBINS	http://www.inbo.be/en/norms-for-data-use	RBINS	RINS Additional Collection	MODIRISK:RBINS Diptera: Culicidae Collection	RBINS	PreservedSpecimen	RBINS:modirisk:collection:974	974	R. Tollet	Female	Adult	Whole mount	in collection	4/9/1942	1942	9	4	BE			Forêt de Soignes (Grasdelle)	ES92B	164507.80200000107	151026.7729000002	50.79103769697872	4.383313667769996	WGS84	centroid of respective UTM square given	Wouter Dekoninck	Culex pipiens	Culex pipiens Linnaeus, 1758	Animalia	Culex	pipiens	ICZN
RBINS:modirisk:collection:975	Event	en	https://creativecommons.org/licenses/by-nc/4.0/	RBINS	http://www.inbo.be/en/norms-for-data-use	RBINS	RINS Additional Collection	MODIRISK:RBINS Diptera: Culicidae Collection	RBINS	PreservedSpecimen	RBINS:modirisk:collection:975	975	R. Tollet	Male	Adult	Whole mount	in collection	4/9/1942	1942	9	4	BE			Forêt de Soignes (Grasdelle)	ES92B	164507.80200000107	151026.7729000002	50.79103769697872	4.383313667769996	WGS84	centroid of respective UTM square given	Wouter Dekoninck	Culex pipiens	Culex pipiens Linnaeus, 1758	Animalia	Culex	pipiens	ICZN
RBINS:modirisk:collection:976	Event	en	https://creativecommons.org/licenses/by-nc/4.0/	RBINS	http://www.inbo.be/en/norms-for-data-use	RBINS	RINS Additional Collection	MODIRISK:RBINS Diptera: Culicidae Collection	RBINS	PreservedSpecimen	RBINS:modirisk:collection:976	976	A. Collart	Female	Adult	Whole mount	in collection	5/5/1950	1950	5	5	BE	Namen	Dinant	Furfooz	FR36B	103770.40619999915	189921.09019999954	50.24364443505744	4.9284223556490465	WGS84	centroid of respective UTM square given	Wouter Dekoninck	Culex pipiens	Culex pipiens Linnaeus, 1758	Animalia	Culex	pipiens	ICZN
