TAG,Shape_Leng,Shape_Area
ER87D,20005.05221540000,25012632.43389999900
ER88A,20005.14929750000,25012875.00099999800
ER88B,20004.94081860000,25012353.67220000200
ER88C,20005.17398230000,25012936.52710000100
ER88D,20004.96577720000,25012415.98240000000
ER89A,20005.13655720000,25012843.23660000000
ER89B,20004.92772780000,25012321.04070000000
ER89C,20005.13692180000,25012843.65749999900
ER89D,20004.92807120000,25012321.99219999800
ER93A,20604.97623420000,22210376.92060000100
ER93B,19824.52860590000,24629467.35760000000
ER93D,9685.55020452000,2884568.21675000010
ER94A,20005.26332690000,25013160.04500000200
ER94B,20005.03205110000,25012581.70490000000
ER94C,20005.38622580000,25013467.57950000100
ER94D,20005.15512430000,25012889.57719999900
ER95A,20005.05425450000,25012637.12900000100
ER95B,20004.82272170000,25012058.15239999800
ER95C,20005.15283580000,25012883.95270000000
ER95D,20004.92137870000,25012304.96049999800
ER96A,20004.89401330000,25012236.52840000000
ER96B,20004.66192290000,25011655.97120000000
ER96C,20004.96807720000,25012421.73750000100
ER96D,20004.73616740000,25011841.71849999900
ER97A,20004.78250540000,25011957.79300000100
ER97B,20004.54986580000,25011376.36030000100
ER97C,20004.83225910000,25012081.80160000200
ER97D,20004.59989030000,25011501.15190000100
ER98A,20004.72013440000,25011801.72659999900
ER98B,20004.48714310000,25011219.31610000100
ER98C,20004.74516690000,25011864.42080000000
ER98D,20004.51255130000,25011282.54910000000
ER99A,20004.70659480000,25011767.87530000100
ER99B,20004.47325660000,25011184.69399999800
ER99C,20004.70731340000,25011769.46290000200
ER99D,20004.47424480000,25011186.46869999900
ES02A,20222.27356520000,24507547.69040000100
ES02B,20599.08573520000,21149486.08610000100
ES02C,9018.54801862000,2124243.47462000000
ES02D,3454.81594119000,418476.25101299997
ES03A,20007.26133550000,25018156.53770000100
ES03B,20007.24909500000,25018126.01830000100
ES03C,20007.16100870000,25017906.12869999900
ES03D,20007.14903780000,25017875.58879999800
ES04A,20007.49860110000,25018750.21900000100
ES04B,20007.48641430000,25018719.44049999900
ES04C,20007.37376930000,25018437.72160000000
ES04D,20007.36155390000,25018407.27180000000
ES05A,20007.78567310000,25019468.07310000100
ES05B,20007.77344550000,25019437.29030000000
ES05C,20007.63593260000,25019093.48130000000
ES05D,20007.62388000000,25019063.32900000000
ES06A,20008.12255500000,25020310.41290000100
ES06B,20008.11008670000,25020279.62960000000
ES06C,20007.94781140000,25019873.68030000100
ES06D,20007.93551440000,25019842.82180000100
ES07A,19907.77118590000,25005330.08819999900
ES07B,20008.49683610000,25021246.70439999900
ES07C,20008.30959840000,25020778.30790000000
ES07D,20008.29726060000,25020747.45430000100
ES08B,5267.26323633000,964930.30614100001
ES08C,14101.01646850000,7959420.28607000040
ES08D,19077.77248260000,22896172.15599999900
ES10B,15083.91125520000,7244890.88979000040
ES10D,11749.88868460000,1279540.30963000000
ES11A,7554.57680936000,1896917.45156000000
ES11B,21237.49798100000,16401452.84840000000
ES11D,16889.61010670000,12058507.83620000100
ES12A,19942.40471360000,23897233.51780000000
ES12B,20006.99987770000,25017502.35460000100
ES12C,16424.16581890000,12085183.50570000000
ES12D,20006.92447170000,25017313.97050000000
ES13A,20007.22445000000,25018064.38690000000
ES13B,20007.18740020000,25017971.63280000200
ES13C,20007.12426220000,25017813.92949999900
ES13D,20007.08738720000,25017721.51100000000
ES14A,20007.46152870000,25018657.79589999800
ES14B,20007.42453680000,25018564.88710000000
ES14C,20007.33683940000,25018345.36100000100
ES14D,20007.29972040000,25018252.82770000000
ES15A,20007.74861750000,25019375.39830000000
ES15B,20007.71158550000,25019282.48050000100
ES15C,20007.59892140000,25019001.01430000000
ES15D,20007.56186030000,25018908.12640000100
ES16A,20008.08551660000,25020217.78110000100
ES16B,20008.04834650000,25020124.62020000100
ES16C,20007.91091900000,25019781.00149999900
ES16D,20007.87361430000,25019687.91400000100
