"type","language","license","eventID","rightsHolder","accessRights","institutionCode","datasetName","ownerInstitutionCode","basisOfREcord","countryCode","Municipality","kingdom","nomenclaturalCode","locality","parentEventID","eventDate"
"event","en","https://creativecommons.org/licenses/by-nc/4.0/","modirisk:Ruiselede:2:13","RBINS","http://www.inbo.be/en/norms-for-data-use","RBINS","MODIRISK:Monitoring of Mosquito Vectors, Longitudinal study","RBINS","humanObservation","BE","Ruiselede","Animalia","ICZN","RU2","Ruiselede:R1","4/05/2009"
"event","en","https://creativecommons.org/licenses/by-nc/4.0/","modirisk:Ruiselede:2:14","RBINS","http://www.inbo.be/en/norms-for-data-use","RBINS","MODIRISK:Monitoring of Mosquito Vectors, Longitudinal study","RBINS","humanObservation","BE","Ruiselede","Animalia","ICZN","RU2","Ruiselede:R1","18/05/2009"
"event","en","https://creativecommons.org/licenses/by-nc/4.0/","modirisk:Ruiselede:2:15","RBINS","http://www.inbo.be/en/norms-for-data-use","RBINS","MODIRISK:Monitoring of Mosquito Vectors, Longitudinal study","RBINS","humanObservation","BE","Ruiselede","Animalia","ICZN","RU2","Ruiselede:R1","1/06/2009"
"event","en","https://creativecommons.org/licenses/by-nc/4.0/","modirisk:Ruiselede:2:16","RBINS","http://www.inbo.be/en/norms-for-data-use","RBINS","MODIRISK:Monitoring of Mosquito Vectors, Longitudinal study","RBINS","humanObservation","BE","Ruiselede","Animalia","ICZN","RU2","Ruiselede:R1","15/06/2009"
"event","en","https://creativecommons.org/licenses/by-nc/4.0/","modirisk:Ruiselede:2:17","RBINS","http://www.inbo.be/en/norms-for-data-use","RBINS","MODIRISK:Monitoring of Mosquito Vectors, Longitudinal study","RBINS","humanObservation","BE","Ruiselede","Animalia","ICZN","RU2","Ruiselede:R1","29/06/2009"
"event","en","https://creativecommons.org/licenses/by-nc/4.0/","modirisk:Ruiselede:2:18","RBINS","http://www.inbo.be/en/norms-for-data-use","RBINS","MODIRISK:Monitoring of Mosquito Vectors, Longitudinal study","RBINS","humanObservation","BE","Ruiselede","Animalia","ICZN","RU2","Ruiselede:R1","13/07/2009"
"event","en","https://creativecommons.org/licenses/by-nc/4.0/","modirisk:Ruiselede:2:19","RBINS","http://www.inbo.be/en/norms-for-data-use","RBINS","MODIRISK:Monitoring of Mosquito Vectors, Longitudinal study","RBINS","humanObservation","BE","Ruiselede","Animalia","ICZN","RU2","Ruiselede:R1","27/07/2009"
"event","en","https://creativecommons.org/licenses/by-nc/4.0/","modirisk:Ruiselede:2:20","RBINS","http://www.inbo.be/en/norms-for-data-use","RBINS","MODIRISK:Monitoring of Mosquito Vectors, Longitudinal study","RBINS","humanObservation","BE","Ruiselede","Animalia","ICZN","RU2","Ruiselede:R1","10/08/2009"
"event","en","https://creativecommons.org/licenses/by-nc/4.0/","modirisk:Ruiselede:2:21","RBINS","http://www.inbo.be/en/norms-for-data-use","RBINS","MODIRISK:Monitoring of Mosquito Vectors, Longitudinal study","RBINS","humanObservation","BE","Ruiselede","Animalia","ICZN","RU2","Ruiselede:R1","24/08/2009"
"event","en","https://creativecommons.org/licenses/by-nc/4.0/","modirisk:Ruiselede:2:22","RBINS","http://www.inbo.be/en/norms-for-data-use","RBINS","MODIRISK:Monitoring of Mosquito Vectors, Longitudinal study","RBINS","humanObservation","BE","Ruiselede","Animalia","ICZN","RU2","Ruiselede:R1","7/09/2009"
"event","en","https://creativecommons.org/licenses/by-nc/4.0/","modirisk:Torhout:1:1","RBINS","http://www.inbo.be/en/norms-for-data-use","RBINS","MODIRISK:Monitoring of Mosquito Vectors, Longitudinal study","RBINS","humanObservation","BE","Torhout","Animalia","ICZN","RU1","Torhout:T1","20/04/2009"
"event","en","https://creativecommons.org/licenses/by-nc/4.0/","modirisk:Torhout:1:10","RBINS","http://www.inbo.be/en/norms-for-data-use","RBINS","MODIRISK:Monitoring of Mosquito Vectors, Longitudinal study","RBINS","humanObservation","BE","Torhout","Animalia","ICZN","RU1","Torhout:T1","24/08/2009"
"event","en","https://creativecommons.org/licenses/by-nc/4.0/","modirisk:Torhout:1:11","RBINS","http://www.inbo.be/en/norms-for-data-use","RBINS","MODIRISK:Monitoring of Mosquito Vectors, Longitudinal study","RBINS","humanObservation","BE","Torhout","Animalia","ICZN","RU1","Torhout:T1","7/09/2009"
"event","en","https://creativecommons.org/licenses/by-nc/4.0/","modirisk:Torhout:1:12","RBINS","http://www.inbo.be/en/norms-for-data-use","RBINS","MODIRISK:Monitoring of Mosquito Vectors, Longitudinal study","RBINS","humanObservation","BE","Torhout","Animalia","ICZN","RU1","Torhout:T1","21/09/2009"
"event","en","https://creativecommons.org/licenses/by-nc/4.0/","modirisk:Torhout:1:13","RBINS","http://www.inbo.be/en/norms-for-data-use","RBINS","MODIRISK:Monitoring of Mosquito Vectors, Longitudinal study","RBINS","humanObservation","BE","Torhout","Animalia","ICZN","RU1","Torhout:T1","5/10/2009"
"event","en","https://creativecommons.org/licenses/by-nc/4.0/","modirisk:Torhout:1:2","RBINS","http://www.inbo.be/en/norms-for-data-use","RBINS","MODIRISK:Monitoring of Mosquito Vectors, Longitudinal study","RBINS","humanObservation","BE","Torhout","Animalia","ICZN","RU1","Torhout:T1","4/05/2009"
"event","en","https://creativecommons.org/licenses/by-nc/4.0/","modirisk:Torhout:1:3","RBINS","http://www.inbo.be/en/norms-for-data-use","RBINS","MODIRISK:Monitoring of Mosquito Vectors, Longitudinal study","RBINS","humanObservation","BE","Torhout","Animalia","ICZN","RU1","Torhout:T1","18/05/2009"
"event","en","https://creativecommons.org/licenses/by-nc/4.0/","modirisk:Torhout:1:4","RBINS","http://www.inbo.be/en/norms-for-data-use","RBINS","MODIRISK:Monitoring of Mosquito Vectors, Longitudinal study","RBINS","humanObservation","BE","Torhout","Animalia","ICZN","RU1","Torhout:T1","1/06/2009"
"event","en","https://creativecommons.org/licenses/by-nc/4.0/","modirisk:Torhout:1:5","RBINS","http://www.inbo.be/en/norms-for-data-use","RBINS","MODIRISK:Monitoring of Mosquito Vectors, Longitudinal study","RBINS","humanObservation","BE","Torhout","Animalia","ICZN","RU1","Torhout:T1","15/06/2009"
"event","en","https://creativecommons.org/licenses/by-nc/4.0/","modirisk:Torhout:1:6","RBINS","http://www.inbo.be/en/norms-for-data-use","RBINS","MODIRISK:Monitoring of Mosquito Vectors, Longitudinal study","RBINS","humanObservation","BE","Torhout","Animalia","ICZN","RU1","Torhout:T1","29/06/2009"
"event","en","https://creativecommons.org/licenses/by-nc/4.0/","modirisk:Torhout:1:7","RBINS","http://www.inbo.be/en/norms-for-data-use","RBINS","MODIRISK:Monitoring of Mosquito Vectors, Longitudinal study","RBINS","humanObservation","BE","Torhout","Animalia","ICZN","RU1","Torhout:T1","13/07/2009"
