X,Y,TAG,POINT_X,POINT_Y
100006.99650000036,110424.16120000184,ER47D,100006.99649999999,110424.16120000000
100283.19370000064,125426.35240000114,ER48B,100283.19370000000,125426.35240000000
100191.09910000116,120425.63100000098,ER48D,100191.09910000001,120425.63099999999
95466.741899996996,135519.94949999824,ER49A,95466.74189999999,135519.94949999999
100467.47020000219,135427.78350000083,ER49B,100467.47020000000,135427.78349999999
95374.588799998164,130519.20729999989,ER49C,95374.58880000000,130519.20729999999
100375.31740000099,130427.0689000003,ER49D,100375.31740000000,130427.06890000000
105099.75230000168,115332.85669999942,ER57A,105099.75229999999,115332.85670000000
110100.43940000236,115240.82279999927,ER57B,110100.43940000000,115240.82279999999
105007.72800000012,110332.14660000056,ER57C,105007.72800000000,110332.14659999999
105283.89670000225,125334.24659999833,ER58A,105283.89670000000,125334.24660000000
110284.56750000268,125242.14570000023,ER58B,110284.56750000000,125242.14569999999
105191.80849999934,120333.55559999868,ER58C,105191.80850000000,120333.55560000001
110192.48589999974,120241.48829999939,ER58D,110192.48590000000,120241.48830000000
105468.16929999739,135335.61630000174,ER59A,105468.16929999999,135335.61629999999
110468.83630000055,135243.44799999893,ER59B,110468.83630000000,135243.44800000000
105376.01690000296,130334.93239999935,ER59C,105376.01690000000,130334.93240000001
110376.68429999799,130242.79780000076,ER59D,110376.68429999999,130242.79780000000
115101.09149999917,115148.80020000041,ER67A,115101.09149999999,115148.80020000000
120101.70549999923,115056.78889999911,ER67B,120101.70550000000,115056.78890000000
115285.20319999754,125150.04980000108,ER68A,115285.20320000000,125150.04979999999
120285.80059999973,125057.95919999853,ER68B,120285.80060000000,125057.95920000000
115193.12830000371,120149.42909999937,ER68C,115193.12830000000,120149.42909999999
120193.73250000179,120057.37819999829,ER68D,120193.73250000000,120057.37820000001
115469.46779999882,135151.27859999985,ER69A,115469.46780000000,135151.27859999999
120470.06090000272,135059.10830000043,ER69B,120470.06090000000,135059.10829999999
115377.31629999727,130150.66530000046,ER69C,115377.31630000001,130150.66529999999
120377.91009999812,130058.53489999846,ER69D,120377.91009999999,130058.53490000000
129918.93469999731,104871.761,ER76B,129918.93470000000,104871.76100000000
125102.27849999815,114964.78909999877,ER77A,125102.27850000000,114964.78909999999
130102.80719999969,114872.80059999973,ER77B,130102.80720000000,114872.80060000000
130010.84740000218,109872.28810000047,ER77D,130010.84740000000,109872.28810000001
125286.35679999739,124965.87379999831,ER78A,125286.35679999999,124965.87380000000
130286.86860000342,124873.7938000001,ER78B,130286.86860000000,124873.79380000000
125194.2955000028,119965.33559999987,ER78C,125194.29549999999,119965.33560000001
130194.81430000067,119873.3015,ER78D,130194.81430000000,119873.30150000000
125470.61259999871,134966.93710000068,ER79A,125470.61259999999,134966.93710000001
130471.11969999969,134874.76520000026,ER79B,130471.11970000000,134874.76519999999
125378.46249999851,129966.40659999847,ER79C,125378.46249999999,129966.40660000000
130378.97039999813,129874.28069999814,ER79D,130378.97040000001,129874.28070000000
134369.11490000039,74776.529599998146,ER83A,134369.11489999999,74776.52959999999
139369.7378000021,74684.975600000471,ER83B,139369.73780000000,74684.97560000001
139278.22730000317,69684.359400000423,ER83D,139278.22730000000,69684.35940000000
139552.91629999876,84686.102699998766,ER84B,139552.91630000001,84686.10270000000
134460.71239999682,79777.160700000823,ER84C,134460.71239999999,79777.16069999999
139461.30080000311,79685.555700000376,ER84D,139461.30080000000,79685.55570000000
134735.80290000141,94778.867899999022,ER85A,134735.80290000001,94778.86790000000
139736.30560000241,94687.109200000763,ER85B,139736.30559999999,94687.10920000001
134644.05629999936,89778.326799999923,ER85C,134644.05630000000,89778.32680000000
139644.58460000157,89686.619399998337,ER85D,139644.58460000000,89686.61940000000
134919.44569999725,104779.88149999827,ER86A,134919.44570000001,104779.88150000000
139919.90659999847,104688.0196999982,ER86B,139919.90659999999,104688.01970000000
134827.59929999709,99779.385200001299,ER86C,134827.59930000000,99779.38520000000
139828.07959999889,99687.57499999926,ER86D,139828.07960000000,99687.57500000000
135103.28880000114,114780.82380000129,ER87A,135103.28880000001,114780.82380000000
140103.7201000005,114688.85860000178,ER87B,140103.72010000001,114688.85860000001
