Subcollectie;scientificName;eventData;municipality;locality;Utm5km;recordedBy;identifiedBy;sex;lifestage;preparations;Veld12;catalogNumber;;Provincie
Algemeen;Culex pipiens Linnaeus, 1758;13/5/1892;Ixelles;;ES93D;E. Coucke;Maurice E. M. Goetghebuer;Female;Adult;Whole mount;3C-8-Culi-6;64;;BR
Algemeen;Culex pipiens Linnaeus, 1758;13/7/1917;Rixensart;Genval;FS02D;André Léon Tonnoir;André Léon Tonnoir;Male;Adult;Whole mount;3C-7-Culi-6;65;;BW
Algemeen;Culex pipiens Linnaeus, 1758;13/7/1933;Antwerpen;;ES97D;/ Brandligt;A. Collart;Female;Adult;Whole mount;3C-8-Culi-6;66;;AN
Algemeen;Culex pipiens Linnaeus, 1758;13/7/1933;Antwerpen;;ES97D;/ Brandligt;A. Collart;Male;Adult;Whole mount;3C-7-Culi-6;67;;AN
Algemeen;Culex pipiens Linnaeus, 1758;13/8/1894;Brussel;;ES93D;E. Coucke;Wouter Dekoninck;Female;Adult;Whole mount;3C-8-Culi-6;68;;BR
Algemeen;Culex pipiens Linnaeus, 1758;14/4/1931;Liège;;FS81C;;;Male;Adult;Whole mount;3C-7-Culi-6;69;;LG
Algemeen;Culex pipiens Linnaeus, 1758;14/8/1894;Etterbeek;;ES93D;E. Coucke;Maurice E. M. Goetghebuer;Male;Adult;Whole mount;3C-7-Culi-6;70;;BR
Algemeen;Culex pipiens Linnaeus, 1758;15/4/1892;Sint-Lambrechts-Woluwe;;ES93D;E. Coucke;Maurice E. M. Goetghebuer;Female;Adult;Whole mount;3C-8-Culi-6;71;;BR
Algemeen;Culex pipiens Linnaeus, 1758;15/4/1892;Sint-Lambrechts-Woluwe;;ES93D;E. Coucke;Maurice E. M. Goetghebuer;Female;Adult;Whole mount;3C-8-Culi-6;72;;BR
Algemeen;Culex pipiens Linnaeus, 1758;15/6/1894;Brussel;;ES93D;E. Coucke;Maurice E. M. Goetghebuer;Female;Adult;Whole mount;3C-8-Culi-6;73;;BR
Algemeen;Culex pipiens Linnaeus, 1758;15/8/1893;Fléron;;FS81D;E. Coucke;Maurice E. M. Goetghebuer;Female;Adult;Whole mount;3C-8-Culi-6;74;;LG
Algemeen;Culex pipiens Linnaeus, 1758;15/8/1893;Etterbeek;;ES93D;E. Coucke;Maurice E. M. Goetghebuer;Female;Adult;Whole mount;3C-7-Culi-6;75;;BR
Algemeen;Culex pipiens Linnaeus, 1758;15/8/1893;Etterbeek;;ES93D;E. Coucke;Maurice E. M. Goetghebuer;Male;Adult;Whole mount;3C-7-Culi-6;76;;BR
Algemeen;Culex pipiens Linnaeus, 1758;16/9/1911;Francorchamps;;GR19C;Guilliaume Severin;Maurice E. M. Goetghebuer;Female;Adult;Whole mount;3C-8-Culi-6;77;;LG
Algemeen;Culex pipiens Linnaeus, 1758;18/3/1892;Ixelles;;ES93D;E. Coucke;Maurice E. M. Goetghebuer;Female;Adult;Whole mount;3C-8-Culi-6;78;;BR
Algemeen;Culex pipiens Linnaeus, 1758;18/4/1895;Etterbeek;;ES93D;E. Coucke;Maurice E. M. Goetghebuer;Female;Adult;Whole mount;3C-8-Culi-6;79;;BR
Algemeen;Culex pipiens Linnaeus, 1758;18/4/1896;Oudergem;;FS03C;E. Coucke;Maurice E. M. Goetghebuer;Female;Adult;Whole mount;3C-8-Culi-6;80;;BR
Algemeen;Culex pipiens Linnaeus, 1758;19/7/1893;Brussel;;ES93D;E. Coucke;Maurice E. M. Goetghebuer;Female;Adult;Whole mount;3C-8-Culi-6;81;;BR
Algemeen;Culex pipiens Linnaeus, 1758;19/7/1942;Jemeppe-sur-Sambre;Onoz - Spy;FR19D;A. Collart;A. Collart;Female;Adult;Whole mount;3C-8-Culi-6;82;;NA
Algemeen;Culex pipiens Linnaeus, 1758;19/8/1896;Etterbeek;;ES93D;E. Coucke;Wouter Dekoninck;Female;Adult;Whole mount;3C-8-Culi-6;83;;BR
Algemeen;Culex pipiens Linnaeus, 1758;2/4/1892;Ixelles;;ES93D;;;Female;Adult;Whole mount;3C-8-Culi-6;84;;BR
Algemeen;Culex pipiens Linnaeus, 1758;2/4/1892;Brussel;;ES93D;E. Coucke;Maurice E. M. Goetghebuer;Female;Adult;Whole mount;3C-8-Culi-6;85;;BR
Algemeen;Culex pipiens Linnaeus, 1758;2/4/1894;Brussel;;ES93D;E. Coucke;Maurice E. M. Goetghebuer;Female;Adult;Whole mount;3C-8-Culi-6;86;;BR
Algemeen;Culex pipiens Linnaeus, 1758;20/3/1896;Brussel;;ES93D;E. Coucke;Maurice E. M. Goetghebuer;Female;Adult;Whole mount;3C-8-Culi-6;87;;BR
Algemeen;Culex pipiens Linnaeus, 1758;20/8/1935;Lanaye;Grotte du pylône 136;FS83D;Robert Leruth;Maurice E. M. Goetghebuer;Male;Adult;Whole mount;3C-7-Culi-6;88;;LG
Algemeen;Culex pipiens Linnaeus, 1758;21/4/1892;Ixelles;;ES93D;E. Coucke;Maurice E. M. Goetghebuer;Female;Adult;Whole mount;3C-8-Culi-6;89;;BR
Algemeen;Culex pipiens Linnaeus, 1758;21/6/1933;Antwerpen;;ES97D;/ Brandligt;A. Collart;Male;Adult;Whole mount;3C-7-Culi-6;90;;AN
Algemeen;Culex pipiens Linnaeus, 1758;21/6/1933;Antwerpen;;ES97D;/ Brandligt;A. Collart;Female;Adult;Whole mount;3C-8-Culi-6;91;;AN
Algemeen;Culex pipiens Linnaeus, 1758;21/9/1911;Francorchamps;;GR19C;Guilliaume Severin;Maurice E. M. Goetghebuer;Female;Adult;Whole mount;3C-8-Culi-6;92;;LG
Algemeen;Culex pipiens Linnaeus, 1758;21/9/1911;Francorchamps;;GR19C;Guilliaume Severin;Maurice E. M. Goetghebuer;Male;Adult;Whole mount;3C-7-Culi-6;93;;LG
Algemeen;Culex pipiens Linnaeus, 1758;22/4/1892;Brussel;;ES93D;E. Coucke;Maurice E. M. Goetghebuer;Female;Adult;Whole mount;3C-8-Culi-6;94;;BR
Algemeen;Culex pipiens Linnaeus, 1758;23/4/1894;Brussel;;ES93D;E. Coucke;Maurice E. M. Goetghebuer;Female;Adult;Whole mount;3C-8-Culi-6;95;;BR
Algemeen;Culex pipiens Linnaeus, 1758;23/5/1893;Brussel;;ES93D;E. Coucke;Maurice E. M. Goetghebuer;Female;Adult;Whole mount;3C-8-Culi-6;96;;BR
Algemeen;Culex pipiens Linnaeus, 1758;24/5/1892;Ixelles;;ES93D;E. Coucke;Maurice E. M. Goetghebuer;Female;Adult;Whole mount;3C-8-Culi-6;97;;BR
Algemeen;Culex pipiens Linnaeus, 1758;24/7/1894;Brasschaat;;FS08C;E. Coucke;Maurice E. M. Goetghebuer;Female;Adult;Whole mount;3C-8-Culi-6;98;;AN
Algemeen;Culex pipiens Linnaeus, 1758;24/9/1911;Francorchamps;;GR19C;Guilliaume Severin;Maurice E. M. Goetghebuer;Male;Adult;Whole mount;3C-7-Culi-6;99;;LG
Algemeen;Culex pipiens Linnaeus, 1758;24/9/1911;Francorchamps;;GR19C;Guilliaume Severin;Maurice E. M. Goetghebuer;Female;Adult;Whole mount;3C-7-Culi-6;100;;LG
Algemeen;Culex pipiens Linnaeus, 1758;25/8/1893;Fléron;;FS81D;E. Coucke;Maurice E. M. Goetghebuer;Male;Adult;Whole mount;3C-7-Culi-6;101;;LG
Algemeen;Culex pipiens Linnaeus, 1758;25/9/1924;De Panne;;DS76C;Guilliaume Severin;Maurice E. M. Goetghebuer;Male;Adult;Whole mount;3C-7-Culi-6;102;;WV
Algemeen;Culex pipiens Linnaeus, 1758;25/9/1933;Lanaye;Grotte carrière inférieure;FS83D;A. Collart;A. Collart;Male;Adult;Whole mount;3C-7-Culi-6;103;;LG
Algemeen;Culex pipiens Linnaeus, 1758;25/9/1933;Lanaye;Grotte carrière inférieure;FS83D;A. Collart;A. Collart;Female;Adult;Whole mount;3C-7-Culi-6;104;;LG
Algemeen;Culex pipiens Linnaeus, 1758;26/2/1894;Fléron;;FS81D;E. Coucke;Maurice E. M. Goetghebuer;Female;Adult;Whole mount;3C-8-Culi-6;105;;LG
Algemeen;Culex pipiens Linnaeus, 1758;26/6/1895;Brussel;;ES93D;E. Coucke;Maurice E. M. Goetghebuer;Female;Adult;Whole mount;3C-8-Culi-6;106;;BR
Algemeen;Culex pipiens Linnaeus, 1758;26/8/1892;Etterbeek;;ES93D;E. Coucke;Maurice E. M. Goetghebuer;Female;Adult;Whole mount;3C-8-Culi-6;107;;BR
Algemeen;Culex pipiens Linnaeus, 1758;27/3/1892;Brussel;;ES93D;E. Coucke;Maurice E. M. Goetghebuer;Female;Adult;Whole mount;3C-8-Culi-6;108;;BR
Algemeen;Culex pipiens Linnaeus, 1758;27/6/1931; ;La Xhavée;FS81B;;;Male;Adult;Whole mount;3C-7-Culi-6;109;;
Algemeen;Culex pipiens Linnaeus, 1758;28/3/1892;Brussel;;ES93D;E. Coucke;Maurice E. M. Goetghebuer;Female;Adult;Whole mount;3C-8-Culi-6;110;;BR
Algemeen;Culex pipiens Linnaeus, 1758;29/3/1894;Evegnée;;FS91C;E. Coucke;Maurice E. M. Goetghebuer;Female;Adult;Whole mount;3C-8-Culi-6;111;;LG
Algemeen;Culex pipiens Linnaeus, 1758;29/3/1894;Etterbeek;;ES93D;E. Coucke;Maurice E. M. Goetghebuer;Female;Adult;Whole mount;3C-8-Culi-6;112;;BR
Algemeen;Culex pipiens Linnaeus, 1758;29/9/1894;Etterbeek;;ES93D;E. Coucke;Maurice E. M. Goetghebuer;Male;Adult;Whole mount;3C-7-Culi-6;113;;BR
Algemeen;Culex pipiens Linnaeus, 1758;3/10/1895;Etterbeek;;ES93D;E. Coucke;Maurice E. M. Goetghebuer;Male;Adult;Whole mount;3C-7-Culi-6;114;;BR
Algemeen;Culex pipiens Linnaeus, 1758;3/4/1894;Evegnée;;FS91C;E. Coucke;Maurice E. M. Goetghebuer;Female;Adult;Whole mount;3C-8-Culi-6;115;;LG
Algemeen;Culex pipiens Linnaeus, 1758;3/6/1918; ;Forêt de Soignes;ES92D;André Léon Tonnoir;André Léon Tonnoir;Female;Adult;Whole mount;3C-8-Culi-6;116;;
