type,language,licence,rightsHolder,institutionCode,datasetName,basisOfRecord,eventID,lifeStage,locationID,sex,scientificName,genus,specificEpithet,identificationRemarks,occurrenceID,occurrenceRemarks,dateIdentified,individualCount,identifiedBy,decimalLatitude,decimalLongitude,habitat,municipality,comments,eventDate
event,en,https://creativecommons.org/licenses/by/2.0/,ITG,ITG,Exosurvey Larval Sampling,preservedSpecimen,ITG:MOSQ:LARV:EV:N1L020Jul,larvae,N1L020,unknown,Anopheles maculipennis/messae,Anopheles,maculipennis/messae,determination uncertain,ITG:MOSQ:LARV:EL024,,2012/7/30,2,Isra Deblauwe,50.315843,5.00615,water trough,Yvoir,3 water troughs in front of football field,2012/7/27 0:00:00
event,en,https://creativecommons.org/licenses/by/2.0/,ITG,ITG,Exosurvey Larval Sampling,preservedSpecimen,ITG:MOSQ:LARV:EV:N1L022Jul,larvae,N1L022,unknown,Culex pipiens/torrentium,Culex,pipiens/torrentium,determination uncertain,ITG:MOSQ:LARV:EL025,2 pupae,2012/7/30,39,Isra Deblauwe,50.301707,4.994397,tyre,Yvoir,"farm, tyres in grass and on silage",2012/7/27 0:00:00
event,en,https://creativecommons.org/licenses/by/2.0/,ITG,ITG,Exosurvey Larval Sampling,preservedSpecimen,ITG:MOSQ:LARV:EV:N1L023Jul,larvae,N1L023,unknown,Culex pipiens/torrentium,Culex,pipiens/torrentium,determination uncertain,ITG:MOSQ:LARV:EL026,1 pupa,2012/7/31,28,Isra Deblauwe,50.270289,4.985958,water trough,Dinant,,2012/7/27 0:00:00
event,en,https://creativecommons.org/licenses/by/2.0/,ITG,ITG,Exosurvey Larval Sampling,preservedSpecimen,ITG:MOSQ:LARV:EV:M2L007Jul,larvae,M2L007,unknown,Culex pipiens/torrentium,Culex,pipiens/torrentium,determination uncertain,ITG:MOSQ:LARV:EL027,,2012/7/31,20,Isra Deblauwe,50.972468,5.653667,puddle,Maasmechelen,in Nationaal Park Hoge Kempen,2012/7/25 0:00:00
event,en,https://creativecommons.org/licenses/by/2.0/,ITG,ITG,Exosurvey Larval Sampling,preservedSpecimen,ITG:MOSQ:LARV:EV:TRL001Jul,larvae,TRL001,unknown,Culex pipiens/torrentium,Culex,pipiens/torrentium,determination uncertain,ITG:MOSQ:LARV:EL028,3 pupae,2012/7/31,36,Isra Deblauwe,50.472498,4.141277,tyre,La Louviere,outside,2012/7/26 0:00:00
event,en,https://creativecommons.org/licenses/by/2.0/,ITG,ITG,Exosurvey Larval Sampling,preservedSpecimen,ITG:MOSQ:LARV:EV:TRL001Jul,larvae,TRL001,unknown,Aedes geniculatus,Aedes,geniculatus,,ITG:MOSQ:LARV:EL029,,2012/7/31,1,Isra Deblauwe,50.472498,4.141277,tyre,La Louviere,outside,2012/7/26 0:00:00
event,en,https://creativecommons.org/licenses/by/2.0/,ITG,ITG,Exosurvey Larval Sampling,preservedSpecimen,ITG:MOSQ:LARV:EV:M2L016Jul,larvae,M2L016,unknown,Culex pipiens/torrentium,Culex,pipiens/torrentium,determination uncertain,ITG:MOSQ:LARV:EL030,,2012/8/2,33,Isra Deblauwe,51.015543,5.597542,water through,As,"Niel-bij-As, in meadow",2012/7/25 0:00:00
event,en,https://creativecommons.org/licenses/by/2.0/,ITG,ITG,Exosurvey Larval Sampling,preservedSpecimen,ITG:MOSQ:LARV:EV:M2L006Jul,larvae,M2L006,unknown,Culex pipiens/torrentium,Culex,pipiens/torrentium,determination uncertain,ITG:MOSQ:LARV:EL031,,2012/8/2,39,Isra Deblauwe,50.995636,5.634575,tyre,Maasmechelen,Grondzorg Limburg NV at end of road next to Mechelse Bos,2012/7/25 0:00:00
event,en,https://creativecommons.org/licenses/by/2.0/,ITG,ITG,Exosurvey Larval Sampling,preservedSpecimen,ITG:MOSQ:LARV:EV:DIL001Aug,larvae,DIL001,unknown,Culex pipiens/torrentium,Culex,pipiens/torrentium,determination uncertain,ITG:MOSQ:LARV:EL032,,2012/8/2,58,Isra Deblauwe,51.039147,5.398155,tyre,Houthalen-Helchteren,,2012/8/1 0:00:00
event,en,https://creativecommons.org/licenses/by/2.0/,ITG,ITG,Exosurvey Larval Sampling,preservedSpecimen,ITG:MOSQ:LARV:EV:TRL001Au1,larvae,TRL001,unknown,Culex pipiens/torrentium,Culex,pipiens/torrentium,determination uncertain,ITG:MOSQ:LARV:EL033,,2012/8/2,49,Isra Deblauwe,50.472498,4.141277,tyre,La Louviere,outside,2012/8/2 0:00:00
event,en,https://creativecommons.org/licenses/by/2.0/,ITG,ITG,Exosurvey Larval Sampling,preservedSpecimen,ITG:MOSQ:LARV:EV:N1L020Jul,larvae,N1L020,unknown,Culex pipiens/torrentium,Culex,pipiens/torrentium,determination uncertain,ITG:MOSQ:LARV:EL034,,2012/7/31,2,Isra Deblauwe,50.315843,5.00615,water trough,Yvoir,3 water troughs in front of football field,2012/7/27 0:00:00
event,en,https://creativecommons.org/licenses/by/2.0/,ITG,ITG,Exosurvey Larval Sampling,preservedSpecimen,ITG:MOSQ:LARV:EV:N1L004Au1,larvae,N1L004,unknown,Culex pipiens/torrentium,Culex,pipiens/torrentium,determination uncertain,ITG:MOSQ:LARV:EL035,also 9/8/12 ID,2012/8/8,138,Isra Deblauwe,50.3358627277969,5.0716363022496,tyre,Hamois,"Natoye, N2 Sarri Pneus",2012/8/3 0:00:00
event,en,https://creativecommons.org/licenses/by/2.0/,ITG,ITG,Exosurvey Larval Sampling,preservedSpecimen,ITG:MOSQ:LARV:EV:N1L004Au1,larvae,N1L004,unknown,Anopheles plumbeus,Anopheles,plumbeus,,ITG:MOSQ:LARV:EL036,,2012/8/10,2,Isra Deblauwe,50.3358627277969,5.0716363022496,tyre,Hamois,"Natoye, N2 Sarri Pneus",2012/8/3 0:00:00
event,en,https://creativecommons.org/licenses/by/2.0/,ITG,ITG,Exosurvey Larval Sampling,preservedSpecimen,ITG:MOSQ:LARV:EV:ATL001Au1,larvae,ATL001,unknown,Aedes geniculatus,Aedes,geniculatus,,ITG:MOSQ:LARV:EL037,,2012/8/8,1,Isra Deblauwe,51.213511,4.193505,tyre,Beveren,Vrasene,2012/8/7 0:00:00
event,en,https://creativecommons.org/licenses/by/2.0/,ITG,ITG,Exosurvey Larval Sampling,preservedSpecimen,ITG:MOSQ:LARV:EV:ATL001Au1,larvae,ATL001,unknown,Culex pipiens/torrentium,Culex,pipiens/torrentium,determination uncertain,ITG:MOSQ:LARV:EL038,,2012/8/8,5,Isra Deblauwe,51.213511,4.193505,tyre,Beveren,Vrasene,2012/8/7 0:00:00
event,en,https://creativecommons.org/licenses/by/2.0/,ITG,ITG,Exosurvey Larval Sampling,preservedSpecimen,ITG:MOSQ:LARV:EV:ATL001Au1,larvae,ATL001,unknown,Anopheles plumbeus,Anopheles,plumbeus,,ITG:MOSQ:LARV:EL039,1 broken,2012/8/8,4,Isra Deblauwe,51.213511,4.193505,tyre,Beveren,Vrasene,2012/8/7 0:00:00
event,en,https://creativecommons.org/licenses/by/2.0/,ITG,ITG,Exosurvey Larval Sampling,preservedSpecimen,ITG:MOSQ:LARV:EV:M2L007Jul,larvae,M2L007,unknown,Culex pipiens/torrentium,Culex,pipiens/torrentium,determination uncertain,ITG:MOSQ:LARV:EL040,,2012/8/8,11,Isra Deblauwe,50.972468,5.653667,puddle,Maasmechelen,in Nationaal Park Hoge Kempen,2012/7/25 0:00:00
event,en,https://creativecommons.org/licenses/by/2.0/,ITG,ITG,Exosurvey Larval Sampling,preservedSpecimen,ITG:MOSQ:LARV:EV:N1L019Jul,larvae,N1L019,unknown,Culex pipiens/torrentium,Culex,pipiens/torrentium,determination uncertain,ITG:MOSQ:LARV:EL041,on plastic sheet,2012/8/8,24,Isra Deblauwe,50.331517,5.032999,plastic sheet,Ciney,plastic on ground,2012/7/27 0:00:00
event,en,https://creativecommons.org/licenses/by/2.0/,ITG,ITG,Exosurvey Larval Sampling,preservedSpecimen,ITG:MOSQ:LARV:EV:M2L012Jul,larvae,M2L012,unknown,Culex pipiens/torrentium,Culex,pipiens/torrentium,determination uncertain,ITG:MOSQ:LARV:EL042,,2012/8/9,34,Isra Deblauwe,50.963654,5.554426,bucket,Zutendaal,next to old house in forest,2012/7/25 0:00:00
event,en,https://creativecommons.org/licenses/by/2.0/,ITG,ITG,Exosurvey Larval Sampling,preservedSpecimen,ITG:MOSQ:LARV:EV:TRL001Au1,larvae,TRL001,unknown,Culiseta annulata,Culiseta,annulata,,ITG:MOSQ:LARV:EL043,,2012/8/9,8,Isra Deblauwe,50.472498,4.141277,tyre,La Louviere,outside,2012/8/2 0:00:00
event,en,https://creativecommons.org/licenses/by/2.0/,ITG,ITG,Exosurvey Larval Sampling,preservedSpecimen,ITG:MOSQ:LARV:EV:TRL001Au1,larvae,TRL001,unknown,Anopheles plumbeus,Anopheles,plumbeus,,ITG:MOSQ:LARV:EL044,,2012/8/9,1,Isra Deblauwe,50.472498,4.141277,tyre,La Louviere,outside,2012/8/2 0:00:00
event,en,https://creativecommons.org/licenses/by/2.0/,ITG,ITG,Exosurvey Larval Sampling,preservedSpecimen,ITG:MOSQ:LARV:EV:TRL002Au1,larvae,TRL002,unknown,Culex pipiens/torrentium,Culex,pipiens/torrentium,determination uncertain,ITG:MOSQ:LARV:EL045,,2012/8/9,26,Isra Deblauwe,50.472498,4.141277,tyre,La Louviere,inside,2012/8/2 0:00:00
event,en,https://creativecommons.org/licenses/by/2.0/,ITG,ITG,Exosurvey Larval Sampling,preservedSpecimen,ITG:MOSQ:LARV:EV:TRL002Au1,larvae,TRL002,unknown,Culex hortensis hortensis,Culex,hortensis hortensis,,ITG:MOSQ:LARV:EL046,,2012/8/9,1,Isra Deblauwe,50.472498,4.141277,tyre,La Louviere,inside,2012/8/2 0:00:00
event,en,https://creativecommons.org/licenses/by/2.0/,ITG,ITG,Exosurvey Larval Sampling,preservedSpecimen,ITG:MOSQ:LARV:EV:TRL002Au1,larvae,TRL002,unknown,Anopheles plumbeus,Anopheles,plumbeus,,ITG:MOSQ:LARV:EL047,,2012/8/9,33,Isra Deblauwe,50.472498,4.141277,tyre,La Louviere,inside,2012/8/2 0:00:00
event,en,https://creativecommons.org/licenses/by/2.0/,ITG,ITG,Exosurvey Larval Sampling,preservedSpecimen,ITG:MOSQ:LARV:EV:N1L010Ju2,larvae,N1L010,unknown,Culex pipiens/torrentium,Culex,pipiens/torrentium,determination uncertain,ITG:MOSQ:LARV:EL048,tyres next to stable,2012/8/9,7,Isra Deblauwe,50.3316001165932,5.0328486104137,tyre,Ciney,"Vincon, on silage & next to stable",2012/6/26 0:00:00
event,en,https://creativecommons.org/licenses/by/2.0/,ITG,ITG,Exosurvey Larval Sampling,preservedSpecimen,ITG:MOSQ:LARV:EV:N1L011Ju2,larvae,N1L011,unknown,Anopheles maculipennis/messae,Anopheles,maculipennis/messae,determination uncertain,ITG:MOSQ:LARV:EL049,,2012/8/9,14,Isra Deblauwe,50.327532,5.035719,water trough,Ciney,"Reuleau, open tank",2012/6/26 0:00:00
event,en,https://creativecommons.org/licenses/by/2.0/,ITG,ITG,Exosurvey Larval Sampling,preservedSpecimen,ITG:MOSQ:LARV:EV:N1L001Ju2,larvae,N1L001,unknown,Culex pipiens/torrentium,Culex,pipiens/torrentium,determination uncertain,ITG:MOSQ:LARV:EL050,,2012/8/9,2,Isra Deblauwe,50.339200617,5.0457397,tyre,Hamois,"Natoye, Havelange",2012/6/26 0:00:00
event,en,https://creativecommons.org/licenses/by/2.0/,ITG,ITG,Exosurvey Larval Sampling,preservedSpecimen,ITG:MOSQ:LARV:EV:N1L016Jun,adult,N1L016,female,Aedes geniculatus,Aedes,geniculatus,,ITG:MOSQ:LARV:EL051,,2012/8/9,1,Isra Deblauwe,50.3404118069542,5.0640483970491,tyre,Hamois,"Natoye, on silage",2012/6/5 0:00:00
event,en,https://creativecommons.org/licenses/by/2.0/,ITG,ITG,Exosurvey Larval Sampling,preservedSpecimen,ITG:MOSQ:LARV:EV:N1L016Jun,larvae,N1L016,unknown,Culex pipiens/torrentium,Culex,pipiens/torrentium,determination uncertain,ITG:MOSQ:LARV:EL052,,2012/8/9,27,Isra Deblauwe,50.3404118069542,5.0640483970491,tyre,Hamois,"Natoye, on silage",2012/6/5 0:00:00
event,en,https://creativecommons.org/licenses/by/2.0/,ITG,ITG,Exosurvey Larval Sampling,preservedSpecimen,ITG:MOSQ:LARV:EV:N1L016Jun,larvae,N1L016,unknown,Culiseta annulata,Culiseta,annulata,,ITG:MOSQ:LARV:EL053,,2012/8/9,3,Isra Deblauwe,50.3404118069542,5.0640483970491,tyre,Hamois,"Natoye, on silage",2012/6/5 0:00:00
event,en,https://creativecommons.org/licenses/by/2.0/,ITG,ITG,Exosurvey Larval Sampling,preservedSpecimen,ITG:MOSQ:LARV:EV:N1L004Ju1,larvae,N1L004,unknown,Aedes geniculatus,Aedes,geniculatus,,ITG:MOSQ:LARV:EL054,tyres at the back,2012/8/9,2,Isra Deblauwe,50.3358627277969,5.0716363022496,tyre,Hamois,"Natoye, N2 Sarri Pneus",2012/6/5 0:00:00
event,en,https://creativecommons.org/licenses/by/2.0/,ITG,ITG,Exosurvey Larval Sampling,preservedSpecimen,ITG:MOSQ:LARV:EV:N1L004Ju1,larvae,N1L004,unknown,Culex pipiens/torrentium,Culex,pipiens/torrentium,determination uncertain,ITG:MOSQ:LARV:EL055,"tyres at the back, 1 pupa/mosquito & 7 pupae",2012/8/10,64,Isra Deblauwe,50.3358627277969,5.0716363022496,tyre,Hamois,"Natoye, N2 Sarri Pneus",2012/6/5 0:00:00
event,en,https://creativecommons.org/licenses/by/2.0/,ITG,ITG,Exosurvey Larval Sampling,preservedSpecimen,ITG:MOSQ:LARV:EV:N1L015Jun,larvae,N1L015,unknown,Culex pipiens/torrentium,Culex,pipiens/torrentium,determination uncertain,ITG:MOSQ:LARV:EL056,,2012/8/10,19,Isra Deblauwe,50.346665,5.035574,tyre,Assesse,,2012/6/5 0:00:00
event,en,https://creativecommons.org/licenses/by/2.0/,ITG,ITG,Exosurvey Larval Sampling,preservedSpecimen,ITG:MOSQ:LARV:EV:N1L014Jun,larvae,N1L014,unknown,Culex pipiens/torrentium,Culex,pipiens/torrentium,determination uncertain,ITG:MOSQ:LARV:EL057,+ 1 pupa,2012/8/10,18,Isra Deblauwe,50.32406,5.027415,tyre,Ciney,"Reuleau, on silage",2012/6/5 0:00:00
event,en,https://creativecommons.org/licenses/by/2.0/,ITG,ITG,Exosurvey Larval Sampling,preservedSpecimen,ITG:MOSQ:LARV:EV:N1L001Ju2,adult,N1L001,female,Culex torrentium,Culex,torrentium,,ITG:MOSQ:LARV:EL058,,2012/8/9,1,Isra Deblauwe,50.339200617,5.0457397,tyre,Hamois,"Natoye, Havelange",2012/6/26 0:00:00
event,en,https://creativecommons.org/licenses/by/2.0/,ITG,ITG,Exosurvey Larval Sampling,preservedSpecimen,ITG:MOSQ:LARV:EV:N1L009Ju2,adult,N1L009,female,Culex pipiens,Culex,pipiens,determination uncertain,ITG:MOSQ:LARV:EL059,"rain water barrel, broken",2012/8/10,1,Isra Deblauwe,50.331197,5.031301,rain water barrel,Ciney,"Vincon, + 2 buckets",2012/6/26 0:00:00
event,en,https://creativecommons.org/licenses/by/2.0/,ITG,ITG,Exosurvey Larval Sampling,preservedSpecimen,ITG:MOSQ:LARV:EV:N1L009Ju2,adult,N1L009,female,Culex torrentium,Culex,torrentium,,ITG:MOSQ:LARV:EL060,rain water barrel,2012/8/10,1,Isra Deblauwe,50.331197,5.031301,rain water barrel,Ciney,"Vincon, + 2 buckets",2012/6/26 0:00:00
event,en,https://creativecommons.org/licenses/by/2.0/,ITG,ITG,Exosurvey Larval Sampling,preservedSpecimen,ITG:MOSQ:LARV:EV:N1L009Ju2,adult,N1L009,male,Culex pipiens,Culex,pipiens,determination uncertain,ITG:MOSQ:LARV:EL061,"rain water barrel, broken",2012/8/10,1,Isra Deblauwe,50.331197,5.031301,rain water barrel,Ciney,"Vincon, + 2 buckets",2012/6/26 0:00:00
event,en,https://creativecommons.org/licenses/by/2.0/,ITG,ITG,Exosurvey Larval Sampling,preservedSpecimen,ITG:MOSQ:LARV:EV:N1L018Jun,adult,N1L018,male,Culex torrentium,Culex,torrentium,,ITG:MOSQ:LARV:EL062,,2012/8/10,1,Isra Deblauwe,50.3649676625777,4.9985009538961,tyre,Assesse,tyres next to field,2012/6/26 0:00:00
event,en,https://creativecommons.org/licenses/by/2.0/,ITG,ITG,Exosurvey Larval Sampling,preservedSpecimen,ITG:MOSQ:LARV:EV:N1L018Jun,adult,N1L018,male,Culex torrentium,Culex,torrentium,,ITG:MOSQ:LARV:EL063,,2012/8/10,1,Isra Deblauwe,50.3649676625777,4.9985009538961,tyre,Assesse,tyres next to field,2012/6/26 0:00:00
