Tube number,occurrenceID,Identification ovitraps_Sampling Code,Identification ovitraps_Subsite Code,lifeStage,scientificName,genus,species,sex,individualCount,identifiedBy,dataIdentified,Identification ovitraps_Comments,Sampling ovitraps_Sampling Code,eventID,locationID,Trap Code,eventDate,verbatimEventDate,Presence of Aedes eggs,Sampling ovitraps_Comments,municipality,Longitude,Latitude,Land cover level 1,Eclosion Date A/L,Storage of Box
EO018,ITG:MOSQ:VECT:EO018,N1P1-1Jun,N1010,adult,Aedes j. japonicus,Aedes,j. japonicus,M,1,Isra Deblauwe,2012-08-13,,N1P1-1Jun,ITG:MOSQ:VECT:N1P1-1Jun,N1010,P1-1,2012-06-05,2012-06-05 /2012-06-26,WAAR,,Hamois,"5,045144","50,338576",Forest and semi-natural areas,19-jul-12,"KB25, closet 123"
EO019,ITG:MOSQ:VECT:EO019,N1P1-1Jun,N1010,adult,Aedes j. japonicus,Aedes,j. japonicus,F,1,Isra Deblauwe,2012-08-13,,N1P1-1Jun,ITG:MOSQ:VECT:N1P1-1Jun,N1010,P1-1,2012-06-05,2012-06-05 /2012-06-26,WAAR,,Hamois,"5,045144","50,338576",Forest and semi-natural areas,24-jul-12,"KB25, closet 123"
EO020,ITG:MOSQ:VECT:EO020,N1P1-1Jun,N1010,adult,Aedes j. japonicus,Aedes,j. japonicus,F,1,Isra Deblauwe,2012-08-13,,N1P1-1Jun,ITG:MOSQ:VECT:N1P1-1Jun,N1010,P1-1,2012-06-05,2012-06-05 /2012-06-26,WAAR,,Hamois,"5,045144","50,338576",Forest and semi-natural areas,24-jul-12,"KB25, closet 123"
EO021,ITG:MOSQ:VECT:EO021,N1P1-1Jun,N1010,adult,Aedes j. japonicus,Aedes,j. japonicus,F,1,Isra Deblauwe,2012-08-13,,N1P1-1Jun,ITG:MOSQ:VECT:N1P1-1Jun,N1010,P1-1,2012-06-05,2012-06-05 /2012-06-26,WAAR,,Hamois,"5,045144","50,338576",Forest and semi-natural areas,26-jul-12,"KB25, closet 123"
EO010,ITG:MOSQ:VECT:EO010,N1P1-1Jul,N1010,larva,Aedes geniculatus,Aedes,geniculatus,NA,5,Isra Deblauwe,2012-08-06,,N1P1-1Jul,ITG:MOSQ:VECT:N1P1-1Jul,N1010,P1-1,2012-06-26,2012-06-26 /2012-07-27,WAAR,,Hamois,"5,045144","50,338576",Forest and semi-natural areas,06-aug-12,"KB25, on rack"
EO008,ITG:MOSQ:VECT:EO008,N1PP13Jun,N1011,larva,Aedes j. japonicus,Aedes,j. japonicus,NA,3,Isra Deblauwe,2012-07-24,"already dead, eclosion date earlier",N1PP13Jun,ITG:MOSQ:VECT:N1PP13Jun,N1011,PP13,2012-06-05,2012-06-05 /2012-06-26,WAAR,polystyrene next to trap,Hamois,"5,044919","50,338709",Forest and semi-natural areas,24-jul-12,"KB25, on rack"
EO022,ITG:MOSQ:VECT:EO022,N1PP13Jun,N1011,adult,Aedes j. japonicus,Aedes,j. japonicus,M,1,Isra Deblauwe,2012-08-13,,N1PP13Jun,ITG:MOSQ:VECT:N1PP13Jun,N1011,PP13,2012-06-05,2012-06-05 /2012-06-26,WAAR,polystyrene next to trap,Hamois,"5,044919","50,338709",Forest and semi-natural areas,20-jul-12,"KB25, closet 123"
EO023,ITG:MOSQ:VECT:EO023,N1PP13Jun,N1011,adult,Aedes j. japonicus,Aedes,j. japonicus,M,1,Isra Deblauwe,2012-08-13,,N1PP13Jun,ITG:MOSQ:VECT:N1PP13Jun,N1011,PP13,2012-06-05,2012-06-05 /2012-06-26,WAAR,polystyrene next to trap,Hamois,"5,044919","50,338709",Forest and semi-natural areas,20-jul-12,"KB25, closet 123"
EO024,ITG:MOSQ:VECT:EO024,N1PP13Jun,N1011,adult,Aedes j. japonicus,Aedes,j. japonicus,M,1,Isra Deblauwe,2012-08-13,,N1PP13Jun,ITG:MOSQ:VECT:N1PP13Jun,N1011,PP13,2012-06-05,2012-06-05 /2012-06-26,WAAR,polystyrene next to trap,Hamois,"5,044919","50,338709",Forest and semi-natural areas,24-jul-12,"KB25, closet 123"
EO025,ITG:MOSQ:VECT:EO025,N1PP13Jun,N1011,adult,Aedes j. japonicus,Aedes,j. japonicus,F,1,Isra Deblauwe,2012-08-13,,N1PP13Jun,ITG:MOSQ:VECT:N1PP13Jun,N1011,PP13,2012-06-05,2012-06-05 /2012-06-26,WAAR,polystyrene next to trap,Hamois,"5,044919","50,338709",Forest and semi-natural areas,24-jul-12,"KB25, closet 123"
EO026,ITG:MOSQ:VECT:EO026,N1PP13Jun,N1011,adult,Aedes j. japonicus,Aedes,j. japonicus,F,1,Isra Deblauwe,2012-08-13,,N1PP13Jun,ITG:MOSQ:VECT:N1PP13Jun,N1011,PP13,2012-06-05,2012-06-05 /2012-06-26,WAAR,polystyrene next to trap,Hamois,"5,044919","50,338709",Forest and semi-natural areas,26-jul-12,"KB25, closet 123"
EO014,ITG:MOSQ:VECT:EO014,N1P1-3My2,N1012,larva,Culex pipiens/torrentium?,Culex,pipiens/torrentium?,NA,118,Isra Deblauwe,2012-08-10,already in water of ovitrap,N1P1-3My2,ITG:MOSQ:VECT:N1P1-3My2,N1012,P1-3,2012-05-18,2012-05-18 /2012-06-05,ONWAAR,,Ciney,"5,028520","50,330813",Forest and semi-natural areas,05-jun-12,"KB25, on rack"
EO029,ITG:MOSQ:VECT:EO029,N1O007Jul,N1026,larva,Aedes j. japonicus,Aedes,j. japonicus,NA,26,Isra Deblauwe,2012-08-13,+ 2 eggs,N1O007Jul,ITG:MOSQ:VECT:N1O007Jul,N1026,O007,2012-06-26,2012-06-26 /2012-08-03,WAAR,,Hamois,"5,045534","50,330284",Forest and semi-natural areas,09-aug-12,"KB25, on rack"
EO012,ITG:MOSQ:VECT:EO012,N1O021Jul,N1033,larva,Aedes j. japonicus,Aedes,j. japonicus,NA,53,Isra Deblauwe,2012-08-10,+ 1 egg,N1O021Jul,ITG:MOSQ:VECT:N1O021Jul,N1033,O021,2012-06-26,2012-06-26 /2012-08-03,WAAR,,Ciney,"5,034598","50,331361",Forest and semi-natural areas,08-aug-12,"KB25, on rack"
EO027,ITG:MOSQ:VECT:EO027,N1O021Jul,N1033,larva,Aedes j. japonicus,Aedes,j. japonicus,NA,71,Isra Deblauwe,2012-08-13,+ 3 eggs,N1O021Jul,ITG:MOSQ:VECT:N1O021Jul,N1033,O021,2012-06-26,2012-06-26 /2012-08-03,WAAR,,Ciney,"5,034598","50,331361",Forest and semi-natural areas,08-aug-12,"KB25, on rack"
EO013,ITG:MOSQ:VECT:EO013,N1O022Jul,N1033,larva,Aedes j. japonicus,Aedes,j. japonicus,NA,36,Isra Deblauwe,2012-08-10,+ 1 egg,N1O022Jul,ITG:MOSQ:VECT:N1O022Jul,N1033,O022,2012-06-26,2012-06-26 /2012-08-03,WAAR,,Ciney,"5,034598","50,331361",Forest and semi-natural areas,08-aug-12,"KB25, on rack"
EO028,ITG:MOSQ:VECT:EO028,N1O022Jul,N1033,larva,Aedes j. japonicus,Aedes,j. japonicus,NA,13,Isra Deblauwe,2012-08-13,,N1O022Jul,ITG:MOSQ:VECT:N1O022Jul,N1033,O022,2012-06-26,2012-06-26 /2012-08-03,WAAR,,Ciney,"5,034598","50,331361",Forest and semi-natural areas,08-aug-12,"KB25, on rack"
EO031,ITG:MOSQ:VECT:EO031,N1O022Jul,N1033,adult,Aedes j. japonicus,Aedes,j. japonicus,M,1,Isra Deblauwe,2012-09-05,,N1O022Jul,ITG:MOSQ:VECT:N1O022Jul,N1033,O022,2012-06-26,2012-06-26 /2012-08-03,WAAR,,Ciney,"5,034598","50,331361",Forest and semi-natural areas,20-aug-12,"KB25, closet 123"
EO032,ITG:MOSQ:VECT:EO032,N1O022Jul,N1033,adult,Aedes j. japonicus,Aedes,j. japonicus,F,1,Isra Deblauwe,2012-09-05,,N1O022Jul,ITG:MOSQ:VECT:N1O022Jul,N1033,O022,2012-06-26,2012-06-26 /2012-08-03,WAAR,,Ciney,"5,034598","50,331361",Forest and semi-natural areas,20-aug-12,"KB25, closet 123"
EO033,ITG:MOSQ:VECT:EO033,N1P1-5Jul,N1009,adult,Aedes j. japonicus,Aedes,j. japonicus,M,1,Isra Deblauwe,2012-09-05,,N1P1-5Jul,ITG:MOSQ:VECT:N1P1-5Jul,N1009,P1-5,2012-06-26,2012-06-26 /2012-08-03,WAAR,,Hamois,"5,044248","50,335326",Forest and semi-natural areas,20-aug-12,"KB25, closet 123"
EO034,ITG:MOSQ:VECT:EO034,N1O021Aug,N1033,larva,Aedes j. japonicus,Aedes,j. japonicus,NA,8,Isra Deblauwe,2012-09-11,,N1O021Aug,ITG:MOSQ:VECT:N1O021Aug,N1033,O021,2012-08-03,2012-08-03 /2012-08-31,WAAR,,Ciney,"5,034598","50,331361",Forest and semi-natural areas,06-sep-12,"KB25, on rack"
EO035,ITG:MOSQ:VECT:EO035,N1B003Aug,N1014,larva,Aedes j. japonicus,Aedes,j. japonicus,NA,8,Isra Deblauwe,2012-09-11,,N1B003Aug,ITG:MOSQ:VECT:N1B003Aug,N1014,B003,2012-07-27,2012-07-27 /2012-08-24,WAAR,,Ciney,"5,028772","50,328419",Forest and semi-natural areas,03-sep-12,"KB25, on rack"
EO036,ITG:MOSQ:VECT:EO036,N1P1-4Aug,N1010,larva,Aedes j. japonicus,Aedes,j. japonicus,NA,13,Isra Deblauwe,2012-09-11,+ 1 open egg,N1P1-4Aug,ITG:MOSQ:VECT:N1P1-4Aug,N1010,P1-4,2012-07-27,2012-07-27 /2012-08-24,WAAR,,Hamois,"5,045144","50,338576",Forest and semi-natural areas,03-sep-12,"KB25, on rack"
EO037,ITG:MOSQ:VECT:EO037,N1P1-4Aug,N1010,larva,Aedes geniculatus,Aedes,geniculatus,NA,1,Isra Deblauwe,2012-09-11,,N1P1-4Aug,ITG:MOSQ:VECT:N1P1-4Aug,N1010,P1-4,2012-07-27,2012-07-27 /2012-08-24,WAAR,,Hamois,"5,045144","50,338576",Forest and semi-natural areas,03-sep-12,"KB25, on rack"
EO038,ITG:MOSQ:VECT:EO038,N1P2-5Aug,N108a,larva,Aedes j. japonicus,Aedes,j. japonicus,NA,1,Isra Deblauwe,2012-09-11,very small larva,N1P2-5Aug,ITG:MOSQ:VECT:N1P2-5Aug,N108a,P2-5,2012-07-27,2012-07-27 /2012-08-24,WAAR,"N1008a, polystyrene next to trap",Hamois,"5,044350","50,338740",Forest and semi-natural areas,04-sep-12,"KB25, on rack"
EO039,ITG:MOSQ:VECT:EO039,N1B001Jul,N1007,larva,Aedes geniculatus,Aedes,geniculatus,NA,1,Isra Deblauwe,2012-09-11,eclosion date  is rather collection date,N1B001Jul,ITG:MOSQ:VECT:N1B001Jul,N1007,B001,2012-06-26,2012-06-26 /2012-07-27,WAAR,,Hamois,"5,044779","50,338908",Forest and semi-natural areas,04-sep-12,"KB25, on rack"
EO040,ITG:MOSQ:VECT:EO040,N1B001Aug,N1007,larva,Aedes j. japonicus,Aedes,j. japonicus,NA,13,Isra Deblauwe,2012-09-11,,N1B001Aug,ITG:MOSQ:VECT:N1B001Aug,N1007,B001,2012-07-27,2012-07-27 /2012-08-24,WAAR,,Hamois,"5,044779","50,338908",Forest and semi-natural areas,04-sep-12,"KB25, on rack"
EO041,ITG:MOSQ:VECT:EO041,M2O036Aug,M2001,larva,Anopheles plumbeus,Anopheles,plumbeus,NA,1,Isra Deblauwe,2012-09-13,on polystyrene?,M2O036Aug,ITG:MOSQ:VECT:M2O036Aug,M2001,O036,2012-08-01,2012-08-01 /2012-08-23,WAAR,Aedes geniculatus! (nr 11 checked by Francis),As,"5,621690","51,007416",Forest and semi-natural areas,04-sep-12,"KB25, on rack"
EO006,ITG:MOSQ:VECT:EO006,N1PP11Jun,N1003,larva,Aedes j. japonicus,Aedes,j. japonicus,NA,3,Isra Deblauwe,2012-07-24,,N1PP11Jun,ITG:MOSQ:VECT:N1PP11Jun,N1003,PP11,2012-06-05,2012-06-05 /2012-06-26,WAAR,,Ciney,"5,035870","50,335481",Forest and semi-natural areas,24-jul-12,"KB25, on rack"
EO001,ITG:MOSQ:VECT:EO001,N1PP11Jun,N1003,larva,Culex pipiens/torrentium?,Culex,pipiens/torrentium?,NA,1,Isra Deblauwe,2012-07-05,already in water of ovitrap,N1PP11Jun,ITG:MOSQ:VECT:N1PP11Jun,N1003,PP11,2012-06-05,2012-06-05 /2012-06-26,WAAR,,Ciney,"5,035870","50,335481",Forest and semi-natural areas,26-jun-12,"KB25, on rack"
