gbifid	datasetkey	occurrenceid	kingdom	phylum	class	order	family	genus	species	infraspecificepithet	taxonrank	scientificname	countrycode	locality	publishingorgkey	decimallatitude	decimallongitude	coordinateuncertaintyinmeters	coordinateprecision	elevation	elevationaccuracy	depth	depthaccuracy	eventdate	day	month	year	taxonkey	specieskey	basisofrecord	institutioncode	collectioncode	catalognumber	recordnumber	identifiedby	license	rightsholder	recordedby	typestatus	establishmentmeans	lastinterpreted	mediatype	issue
1137096535	6679952f-649b-4888-bd97-00daca4b8cc1	MODIRISK:2554	Animalia	Arthropoda	Insecta	Diptera	Culicidae	Culex	Culex pipiens		SPECIES	Culex pipiens Linnaeus, 1758	BE	8 Rue Warsbecq	37e82b90-1e21-11de-ab90-f72009d2669b									2007-10-03T02:00Z	3	10	2007	1652991	1652991	HUMAN_OBSERVATION	KBIN				Stephane	CC_BY_4_0					2017-02-28T03:52Z		RECORDED_DATE_MISMATCH
1137096534	6679952f-649b-4888-bd97-00daca4b8cc1	MODIRISK:2577	Animalia	Arthropoda	Insecta	Diptera	Culicidae	Culex	Culex pipiens		SPECIES	Culex pipiens Linnaeus, 1758	BE		37e82b90-1e21-11de-ab90-f72009d2669b	51.108669	3.75142							2007-09-17T02:00Z	17	9	2007	1652991	1652991	HUMAN_OBSERVATION	ITM				Veerle	CC_BY_4_0					2017-02-28T03:52Z		RECORDED_DATE_MISMATCH;COORDINATE_ROUNDED
1137096533	6679952f-649b-4888-bd97-00daca4b8cc1	MODIRISK:2604	Animalia	Arthropoda	Insecta	Diptera	Culicidae	Anopheles	Anopheles claviger		SPECIES	Anopheles claviger (Meigen, 1804)	BE	Noordlaan	37e82b90-1e21-11de-ab90-f72009d2669b	51.245739	4.95421							2007-08-28T02:00Z	28	8	2007	1650857	1650857	HUMAN_OBSERVATION	ITM				Veerle	CC_BY_4_0					2017-02-28T03:52Z		RECORDED_DATE_MISMATCH;COORDINATE_ROUNDED
1137096532	6679952f-649b-4888-bd97-00daca4b8cc1	MODIRISK:2583	Animalia	Arthropoda	Insecta	Diptera	Culicidae	Anopheles	Anopheles maculipennis		SPECIES	Anopheles maculipennis Meigen, 1818	BE	Driepaalweg	37e82b90-1e21-11de-ab90-f72009d2669b	51.038521	5.66941							2007-08-27T02:00Z	27	8	2007	1650731	1650731	HUMAN_OBSERVATION	ITM				Veerle	CC_BY_4_0					2017-02-28T03:52Z		RECORDED_DATE_MISMATCH;COORDINATE_ROUNDED
1137096531	6679952f-649b-4888-bd97-00daca4b8cc1	MODIRISK:2568	Animalia	Arthropoda	Insecta	Diptera	Culicidae	Aedes	Aedes cantans		SPECIES	Ochlerotatus cantans (Meigen, 1818) Meigen, 1818	BE	Ferriere	37e82b90-1e21-11de-ab90-f72009d2669b	50.079689	4.34853							2007-06-04T02:00Z	4	6	2007	4519729	1651187	HUMAN_OBSERVATION	KBIN				Stephane	CC_BY_4_0					2017-02-28T03:52Z		RECORDED_DATE_MISMATCH;COORDINATE_ROUNDED
1137096530	6679952f-649b-4888-bd97-00daca4b8cc1	MODIRISK:2599	Animalia	Arthropoda	Insecta	Diptera	Culicidae	Culex	Culex pipiens		SPECIES	Culex pipiens Linnaeus, 1758	BE	Noordlaan	37e82b90-1e21-11de-ab90-f72009d2669b	51.245739	4.95421							2007-08-28T02:00Z	28	8	2007	1652991	1652991	HUMAN_OBSERVATION	ITM				Veerle	CC_BY_4_0					2017-02-28T03:52Z		RECORDED_DATE_MISMATCH;COORDINATE_ROUNDED
1137096529	6679952f-649b-4888-bd97-00daca4b8cc1	MODIRISK:2508	Animalia	Arthropoda	Insecta	Diptera	Culicidae	Anopheles	Anopheles claviger		SPECIES	Anopheles claviger (Meigen, 1804)	BE	4 Booitshoekestraat	37e82b90-1e21-11de-ab90-f72009d2669b	51.095711	2.70109							2007-08-19T02:00Z	19	8	2007	1650857	1650857	HUMAN_OBSERVATION	UCL				Rien De Keyser	CC_BY_4_0					2017-02-28T03:52Z		RECORDED_DATE_MISMATCH;COORDINATE_ROUNDED
1137096528	6679952f-649b-4888-bd97-00daca4b8cc1	MODIRISK:2593	Animalia	Arthropoda	Insecta	Diptera	Culicidae	Culex	Culex pipiens		SPECIES	Culex pipiens Linnaeus, 1758	BE	24 Bruulstraat	37e82b90-1e21-11de-ab90-f72009d2669b	51.071232	4.79908							2007-06-18T02:00Z	18	6	2007	1652991	1652991	HUMAN_OBSERVATION	ITM				Veerle	CC_BY_4_0					2017-02-28T03:52Z		RECORDED_DATE_MISMATCH;COORDINATE_ROUNDED
1137096527	6679952f-649b-4888-bd97-00daca4b8cc1	MODIRISK:2557	Animalia	Arthropoda	Insecta	Diptera	Culicidae	Culex	Culex pipiens		SPECIES	Culex pipiens Linnaeus, 1758	BE	19 Rue de Montigny	37e82b90-1e21-11de-ab90-f72009d2669b									2007-06-30T02:00Z	30	6	2007	1652991	1652991	HUMAN_OBSERVATION	KBIN				Stephane	CC_BY_4_0					2017-02-28T03:52Z		RECORDED_DATE_MISMATCH
1137096526	6679952f-649b-4888-bd97-00daca4b8cc1	MODIRISK:2532	Animalia	Arthropoda	Insecta	Diptera	Culicidae	Culex	Culex pipiens		SPECIES	Culex pipiens Linnaeus, 1758	BE	2 Dijkstraat	37e82b90-1e21-11de-ab90-f72009d2669b	51.10524	4.19417							2007-09-17T02:00Z	17	9	2007	1652991	1652991	HUMAN_OBSERVATION	UCL				Wouter Dekoninck	CC_BY_4_0					2017-02-28T03:52Z		RECORDED_DATE_MISMATCH;COORDINATE_ROUNDED
